scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 4, 0, 1, 0, 2, 2, 0, 1, 0, 2, 3, 0, 1, 0, 2, 2, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 4, 0, 1, 0, 2, 3, 1, 2, 0, 3, 3, 1, 2, 0, 3, 3, 1, 2, 0, 3, 20, 20, 6, 0, 26,2, 2
1, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 1, 1, 0, 2, 3, 0, 2, 0, 2, 3, 0, 2, 0, 2,2, 2
8, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 5, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 10, 0, 10, 4, 0, 14, 0, 15,10, 10
16, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 5, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 4, 0, 25, 0, 25, 5, 0, 25, 0, 25, 4, 0, 25, 0, 25,25, 25
32, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 5, 0, 42, 0, 43, 6, 0, 42, 0, 43, 6, 0, 42, 0, 43, 6, 0, 43, 0, 43, 6, 0, 43, 0, 44,43, 43
64, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 34, 0, 35, 7, 0, 35, 0, 36, 7, 0, 35, 0, 36,35, 35
128, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 24, 0, 25, 10, 0, 25, 0, 25,25, 25
256, 18, 0, 81, 0, 82, 18, 0, 82, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 83, 18, 0, 83, 0, 84, 18, 0, 83, 0, 84,83, 83
512, 32, 0, 72, 0, 73, 32, 0, 72, 0, 73, 32, 0, 72, 0, 73, 32, 0, 73, 0, 73, 32, 0, 73, 0, 74, 32, 0, 73, 0, 74, 32, 0, 73, 0, 74, 32, 0, 73, 0, 74, 32, 0, 73, 0, 74, 32, 0, 74, 0, 74, 32, 0, 74, 0, 74, 32, 0, 74, 0, 75,74, 74
1024, 61, 0, 156, 0, 156, 60, 0, 157, 0, 157, 60, 0, 159, 0, 159, 60, 0, 159, 0, 159, 60, 0, 159, 0, 159, 61, 0, 160, 0, 160, 61, 0, 161, 0, 161, 60, 0, 162, 0, 162, 60, 0, 162, 0, 162, 62, 0, 162, 0, 162, 60, 0, 162, 0, 162, 61, 0, 164, 0, 164,160, 161
2048, 116, 0, 215, 0, 215, 116, 0, 215, 0, 215, 120, 0, 216, 0, 216, 116, 0, 217, 0, 217, 116, 0, 218, 0, 218, 116, 0, 218, 0, 218, 116, 0, 219, 0, 219, 116, 0, 220, 0, 220, 116, 0, 220, 0, 220, 116, 0, 220, 0, 220, 116, 0, 221, 0, 221, 121, 0, 224, 0, 224,219, 219
4096, 232, 0, 466, 0, 466, 232, 0, 466, 0, 466, 219, 0, 470, 0, 470, 232, 0, 471, 0, 471, 232, 0, 471, 0, 471, 232, 0, 471, 0, 471, 232, 0, 472, 0, 472, 232, 0, 473, 0, 473, 232, 0, 473, 0, 473, 232, 0, 474, 0, 474, 232, 0, 478, 0, 478, 237, 0, 479, 0, 479,472, 472
8192, 469, 0, 976, 0, 976, 469, 0, 976, 0, 976, 469, 0, 978, 0, 978, 469, 0, 978, 0, 978, 469, 0, 978, 0, 978, 469, 0, 978, 0, 978, 469, 0, 979, 0, 979, 469, 0, 979, 0, 979, 433, 0, 983, 0, 983, 469, 0, 986, 0, 986, 469, 0, 989, 0, 989, 467, 0, 994, 0, 994,981, 979
