scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 2, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 4, 1, 1, 0, 2, 4, 1, 1, 0, 2, 3, 1, 1, 0, 2, 2, 0, 2, 0, 2, 3, 1, 1, 0, 2, 3, 1, 2, 0, 3, 21, 20, 6, 0, 26,2, 2
1, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2, 3, 0, 1, 0, 2,2, 2
8, 5, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 11, 0, 12, 4, 0, 16, 0, 17,12, 12
16, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 5, 0, 27, 0, 28, 5, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28, 4, 0, 27, 0, 28,28, 28
32, 5, 0, 46, 0, 47, 5, 0, 46, 0, 47, 5, 0, 46, 0, 47, 5, 0, 46, 0, 47, 6, 0, 46, 0, 47, 6, 0, 46, 0, 47, 6, 0, 46, 0, 47, 5, 0, 46, 0, 47, 5, 0, 46, 0, 47, 5, 0, 46, 0, 47, 6, 0, 47, 0, 47, 6, 0, 47, 0, 48,47, 47
64, 7, 0, 40, 0, 41, 7, 0, 41, 0, 41, 7, 0, 41, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42, 7, 0, 42, 0, 42,42, 42
128, 11, 0, 42, 0, 43, 10, 0, 42, 0, 43, 10, 0, 43, 0, 43, 10, 0, 43, 0, 44, 10, 0, 43, 0, 44, 10, 0, 43, 0, 44, 10, 0, 43, 0, 44, 10, 0, 43, 0, 44, 10, 0, 44, 0, 44, 10, 0, 44, 0, 45, 10, 0, 44, 0, 45, 10, 0, 44, 0, 45,44, 44
256, 18, 0, 53, 0, 54, 18, 0, 53, 0, 54, 18, 0, 53, 0, 54, 18, 0, 53, 0, 54, 18, 0, 53, 0, 54, 18, 0, 54, 0, 54, 18, 0, 54, 0, 54, 18, 0, 54, 0, 54, 18, 0, 54, 0, 54, 18, 0, 55, 0, 55, 18, 0, 55, 0, 55, 18, 0, 55, 0, 56,54, 54
512, 32, 0, 80, 0, 81, 32, 0, 80, 0, 81, 32, 0, 80, 0, 81, 32, 0, 80, 0, 81, 32, 0, 80, 0, 81, 32, 0, 80, 0, 81, 32, 0, 81, 0, 82, 32, 0, 81, 0, 82, 32, 0, 81, 0, 82, 32, 0, 81, 0, 82, 32, 0, 81, 0, 82, 32, 0, 81, 0, 82,81, 82
1024, 61, 0, 150, 0, 150, 61, 0, 150, 0, 150, 60, 0, 150, 0, 150, 60, 0, 151, 0, 151, 61, 0, 151, 0, 151, 60, 0, 151, 0, 151, 60, 0, 152, 0, 152, 60, 0, 153, 0, 153, 60, 0, 154, 0, 154, 61, 0, 154, 0, 154, 60, 0, 154, 0, 154, 61, 0, 166, 0, 166,152, 152
