scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 9, 1, 0, 11, 0, 9, 1, 0, 11, 58, 60, 6, 0, 67,9, 9
1, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 1, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 1, 8, 1, 0, 9,9, 9
8, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20,20, 20
16, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34,34, 34
32, 2, 17, 39, 0, 56, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 40, 0, 57, 2, 17, 41, 0, 58, 2, 17, 41, 0, 58, 2, 17, 41, 0, 58, 2, 17, 41, 0, 58,57, 57
64, 3, 26, 26, 0, 53, 4, 27, 27, 0, 54, 4, 27, 27, 0, 54, 4, 27, 27, 0, 54, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 27, 27, 0, 55, 4, 28, 27, 0, 55,55, 55
128, 6, 47, 75, 0, 123, 6, 47, 75, 0, 123, 6, 47, 75, 0, 123, 6, 47, 76, 0, 123, 6, 47, 76, 0, 124, 6, 49, 75, 0, 124, 6, 48, 76, 0, 124, 6, 49, 75, 0, 125, 6, 49, 76, 0, 126, 6, 50, 75, 0, 126, 6, 50, 75, 0, 126, 6, 49, 76, 0, 126,124, 124
256, 13, 42, 92, 0, 134, 13, 43, 91, 0, 135, 13, 41, 93, 0, 135, 13, 42, 93, 0, 135, 13, 44, 92, 0, 136, 13, 43, 94, 0, 137, 13, 45, 92, 0, 137, 13, 43, 93, 0, 137, 13, 44, 93, 0, 138, 13, 45, 93, 0, 138, 13, 44, 94, 0, 138, 13, 45, 94, 0, 139,137, 137
512, 26, 104, 64, 0, 168, 26, 107, 64, 0, 171, 26, 103, 68, 0, 171, 26, 103, 68, 0, 172, 26, 98, 75, 0, 174, 26, 104, 70, 0, 174, 26, 109, 68, 0, 177, 26, 100, 77, 0, 177, 25, 103, 76, 0, 179, 25, 102, 78, 0, 181, 25, 108, 74, 0, 183, 26, 92, 97, 0, 190,176, 177
1024, 51, 140, 169, 0, 309, 51, 227, 251, 0, 479, 51, 228, 259, 0, 488, 51, 223, 265, 0, 488, 51, 228, 261, 0, 490, 51, 228, 263, 0, 492, 51, 231, 264, 0, 496, 51, 235, 262, 0, 498, 51, 239, 259, 0, 498, 51, 231, 268, 0, 499, 51, 225, 274, 0, 500, 52, 232, 275, 0, 508,493, 496
