scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57, 1, 57, 1, 0, 58, 1, 58, 1, 0, 60, 34, 62, 1, 0, 63,57, 57
1, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57,56, 56
8, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 67, 2, 0, 69,68, 68
16, 1, 18, 1, 0, 20, 1, 18, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 21, 1, 19, 1, 0, 21, 1, 19, 1, 0, 21, 1, 19, 1, 0, 21, 1, 20, 1, 0, 22,20, 20
32, 2, 78, 1, 0, 79, 2, 78, 1, 0, 80, 2, 78, 1, 0, 80, 2, 79, 1, 0, 80, 2, 79, 1, 0, 80, 2, 79, 1, 0, 81, 2, 79, 1, 0, 81, 2, 80, 1, 0, 81, 2, 80, 1, 0, 81, 2, 80, 1, 0, 81, 2, 80, 1, 0, 82, 2, 80, 1, 0, 82,81, 81
64, 4, 99, 1, 0, 100, 4, 102, 1, 0, 103, 4, 102, 1, 0, 103, 4, 102, 1, 0, 104, 4, 103, 1, 0, 104, 4, 103, 1, 0, 104, 4, 104, 1, 0, 105, 4, 104, 1, 0, 106, 4, 104, 1, 0, 106, 4, 105, 1, 0, 106, 4, 105, 1, 0, 106, 4, 105, 1, 0, 107,105, 105
128, 6, 86, 0, 0, 86, 6, 99, 1, 0, 100, 6, 172, 0, 0, 172, 6, 172, 0, 0, 172, 6, 173, 0, 0, 173, 6, 173, 0, 0, 173, 6, 176, 0, 0, 176, 6, 176, 0, 0, 176, 6, 176, 0, 0, 176, 6, 176, 0, 0, 176, 6, 178, 0, 0, 178, 6, 178, 0, 0, 178,167, 176
256, 13, 191, 0, 0, 191, 13, 195, 2, 0, 197, 10, 201, 0, 0, 201, 10, 201, 0, 0, 201, 10, 202, 0, 0, 202, 10, 205, 0, 0, 205, 10, 205, 0, 0, 205, 10, 205, 0, 0, 205, 10, 206, 0, 0, 206, 10, 208, 0, 0, 208, 10, 209, 0, 0, 209, 10, 214, 0, 0, 214,204, 205
512, 26, 365, 0, 0, 365, 20, 460, 0, 0, 460, 24, 463, 0, 0, 463, 20, 475, 0, 0, 475, 20, 482, 0, 0, 482, 20, 488, 0, 0, 488, 20, 490, 0, 0, 490, 20, 492, 0, 0, 492, 20, 492, 0, 0, 492, 20, 493, 0, 0, 493, 20, 505, 0, 0, 505, 20, 506, 0, 0, 506,484, 490
1024, 51, 676, 0, 0, 676, 45, 1034, 0, 0, 1034, 42, 1100, 0, 0, 1100, 42, 1106, 0, 0, 1106, 42, 1129, 0, 0, 1129, 42, 1141, 0, 0, 1141, 42, 1152, 0, 0, 1152, 42, 1157, 0, 0, 1157, 42, 1163, 0, 0, 1163, 42, 1165, 0, 0, 1165, 42, 1180, 0, 0, 1180, 42, 1184, 0, 0, 1184,1133, 1152
2048, 90, 1465, 0, 0, 1465, 95, 1663, 0, 0, 1663, 95, 1667, 0, 0, 1667, 94, 1684, 0, 0, 1684, 95, 1707, 0, 0, 1707, 95, 1959, 0, 0, 1959, 95, 1993, 0, 0, 1993, 95, 2030, 0, 0, 2030, 105, 2038, 0, 0, 2038, 95, 2148, 0, 0, 2148, 95, 2152, 0, 0, 2152, 95, 2156, 0, 0, 2156,1904, 1993
