scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 9, 0, 8, 0, 8,1, 2
1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 2,1, 1
8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 2, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 2, 0, 8, 0, 8, 1, 0, 8, 0, 8, 2, 0, 8, 0, 8,8, 8
16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16,16, 16
32, 2, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 30, 0, 30, 1, 0, 31, 0, 31,30, 30
64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64, 4, 0, 64, 0, 64,64, 64
128, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 73, 0, 73, 6, 0, 73, 0, 73,72, 72
256, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71,71, 71
512, 25, 0, -3, 0, -3, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 26, 0, 74, 0, 74, 25, 0, 74, 0, 74, 26, 0, 75, 0, 75,74, 74
1024, 51, 0, 128, 0, 128, 50, 0, 191, 0, 191, 50, 0, 195, 0, 195, 50, 0, 195, 0, 195, 50, 0, 195, 0, 195, 52, 0, 195, 0, 195, 50, 0, 195, 0, 195, 50, 0, 195, 0, 195, 51, 0, 195, 0, 195, 50, 0, 195, 0, 195, 50, 0, 196, 0, 196, 50, 0, 196, 0, 196,195, 195
