scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,7,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,7,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,2,1,10,0,9,1,1,11,57,55,6,4,62,9,9
1,0,7,1,1,9,0,7,1,1,9,0,7,1,1,9,0,7,1,1,9,0,7,1,1,9,1,7,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,0,8,1,1,9,9,9
8,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,19,1,10,9,5,20,1,10,9,5,20,1,10,9,5,20,19,19
16,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,21,9,33,1,11,22,9,34,1,12,22,9,34,33,33
32,2,17,39,15,57,2,17,39,15,57,2,17,39,15,57,2,17,39,15,57,2,17,40,15,57,2,17,41,15,58,2,17,41,15,58,2,17,41,15,58,2,17,41,15,58,2,17,41,15,58,2,17,41,15,58,2,17,41,15,58,57,58
64,4,25,27,32,52,4,26,27,32,54,3,26,27,32,54,4,26,27,32,54,3,26,27,32,54,4,27,27,33,54,3,26,28,32,54,4,26,28,33,54,3,26,28,32,55,3,27,27,32,55,4,26,28,33,55,4,26,28,32,55,54,54
128,6,46,77,21,123,6,45,77,21,123,6,46,77,21,123,6,46,77,21,123,6,46,77,21,123,6,46,78,21,124,6,47,77,21,124,6,47,77,21,125,6,46,79,21,125,6,46,79,21,125,6,47,78,24,126,6,47,79,21,126,124,124
256,13,38,93,73,131,13,39,92,74,132,13,40,92,72,132,13,39,92,74,132,13,39,93,73,132,13,39,94,73,133,13,41,92,73,134,13,41,92,73,134,13,42,92,73,135,13,42,93,73,135,13,42,93,74,135,13,42,93,73,136,133,134
512,26,84,97,132,182,26,91,171,112,263,26,95,168,110,263,26,95,169,110,264,26,97,167,110,264,26,97,167,110,265,26,96,169,110,266,26,95,171,112,266,26,95,171,110,266,26,97,171,110,268,26,99,169,110,269,26,96,173,110,270,266,266
1024,51,146,220,263,366,51,214,241,232,455,51,216,240,232,456,51,212,246,236,459,51,215,244,232,460,51,220,240,233,460,51,210,252,234,463,51,216,247,232,463,51,218,248,232,466,51,224,242,232,466,51,225,248,232,473,51,219,255,234,475,462,463
2048,107,238,296,394,535,101,472,257,489,730,101,469,260,488,730,101,474,259,489,734,101,470,263,488,734,102,472,273,489,745,101,486,262,489,748,101,495,263,489,758,101,460,306,491,766,102,496,292,491,789,104,482,662,481,1144,103,470,681,484,1152,788,748
4096,201,569,625,674,1194,201,609,604,675,1214,205,602,626,674,1229,201,600,629,665,1230,203,627,606,671,1234,205,633,603,672,1236,205,616,622,673,1239,205,616,626,674,1242,205,636,607,674,1244,205,641,622,673,1263,205,685,602,674,1288,173,617,953,728,1570,1242,1239
8192,346,1198,1365,1814,2564,415,1312,1429,1462,2741,415,1361,1380,1454,2742,405,1325,1428,1461,2754,414,1332,1427,1454,2759,409,1549,1379,1455,2929,414,1579,1425,1460,3005,415,1581,1436,1460,3017,407,1608,1439,1462,3047,407,1701,1375,1461,3077,405,1652,1434,1459,3086,413,1668,1434,1462,3103,2916,3005
16384,687,3209,2447,0,5656,850,3449,2620,0,6069,851,3468,2622,0,6090,850,3493,2624,0,6118,851,3474,2711,0,6186,851,3474,2718,0,6192,850,3482,2712,0,6194,850,3476,2719,0,6195,851,3636,2620,0,6257,851,3672,2623,0,6296,850,3717,2711,0,6429,850,3755,2710,0,6466,6203,6194
