scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 2, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 12, 6, 0, 19, 58, 61, 12, 0, 73,16, 16
1, 1, 9, 5, 0, 14, 1, 9, 5, 0, 14, 1, 9, 5, 0, 14, 1, 9, 5, 0, 14, 1, 9, 5, 0, 14, 1, 9, 5, 0, 14, 1, 9, 6, 0, 15, 1, 9, 6, 0, 15, 1, 9, 6, 0, 15, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16, 1, 9, 6, 0, 16,15, 15
8, 2, 21, 52, 0, 73, 2, 21, 52, 0, 73, 2, 21, 52, 0, 73, 2, 21, 53, 0, 74, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 21, 53, 0, 75, 2, 22, 53, 0, 75,74, 75
16, 4, 32, 35, 0, 67, 4, 32, 35, 0, 67, 4, 32, 35, 0, 68, 4, 33, 35, 0, 68, 4, 32, 36, 0, 69, 4, 34, 35, 0, 69, 4, 32, 36, 0, 69, 4, 34, 35, 0, 69, 4, 33, 36, 0, 69, 4, 34, 35, 0, 69, 4, 33, 36, 0, 69, 4, 33, 36, 0, 69,69, 69
32, 8, 22, 37, 0, 60, 8, 24, 37, 0, 61, 8, 24, 37, 0, 61, 8, 21, 40, 0, 61, 8, 24, 37, 0, 61, 8, 24, 37, 0, 62, 8, 22, 39, 0, 62, 8, 23, 39, 0, 63, 8, 24, 39, 0, 64, 8, 24, 39, 0, 64, 8, 24, 39, 0, 64, 8, 24, 40, 0, 64,62, 62
64, 14, 84, 60, 0, 144, 13, 84, 60, 0, 144, 14, 84, 60, 0, 145, 14, 84, 60, 0, 145, 14, 82, 63, 0, 146, 13, 46, 102, 0, 148, 14, 84, 125, 0, 210, 14, 86, 124, 0, 211, 14, 85, 127, 0, 213, 14, 86, 128, 0, 214, 14, 86, 128, 0, 214, 14, 86, 128, 0, 214,179, 210
128, 31, 168, 159, 0, 327, 30, 129, 244, 0, 374, 29, 130, 245, 0, 375, 29, 127, 247, 0, 375, 29, 132, 247, 0, 380, 29, 135, 248, 0, 383, 29, 132, 252, 0, 384, 29, 140, 244, 0, 385, 29, 129, 258, 0, 388, 29, 127, 263, 0, 390, 29, 132, 258, 0, 390, 29, 127, 263, 0, 391,382, 384
256, 55, 296, 256, 0, 553, 52, 430, 279, 0, 709, 52, 430, 282, 0, 713, 52, 433, 281, 0, 715, 52, 435, 281, 0, 717, 52, 441, 278, 0, 719, 54, 445, 281, 0, 726, 51, 435, 291, 0, 727, 52, 434, 292, 0, 727, 52, 436, 291, 0, 727, 52, 438, 291, 0, 730, 52, 442, 298, 0, 741,721, 726
512, 117, 1064, 954, 0, 2018, 105, 1185, 955, 0, 2141, 105, 1188, 953, 0, 2141, 105, 1177, 964, 0, 2142, 105, 1188, 954, 0, 2142, 105, 1187, 955, 0, 2143, 105, 1179, 965, 0, 2144, 105, 1181, 963, 0, 2145, 105, 1185, 963, 0, 2148, 105, 1194, 955, 0, 2150, 105, 1196, 963, 0, 2160, 105, 1196, 966, 0, 2162,2146, 2144
1024, 199, 3347, 1232, 0, 4580, 214, 3650, 1232, 0, 4883, 215, 3898, 1096, 0, 4995, 215, 3938, 1093, 0, 5031, 215, 3908, 1142, 0, 5050, 215, 3921, 1162, 0, 5083, 215, 3912, 1184, 0, 5096, 215, 3994, 1106, 0, 5100, 215, 3954, 1182, 0, 5136, 215, 3954, 1182, 0, 5137, 214, 3920, 1244, 0, 5165, 214, 3994, 1184, 0, 5178,5068, 5096
