scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 1, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 10, 0, 15, 0, 15,7, 6
1, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6,6, 6
8, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 3, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 3, 0, 59, 0, 59, 3, 0, 59, 0, 59, 2, 0, 59, 0, 59, 2, 0, 59, 0, 59,58, 58
16, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45,45, 44
32, 8, 0, 56, 0, 56, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57,57, 57
64, 15, 0, 10, 0, 10, 13, 0, 70, 0, 70, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71,71, 71
128, 31, 0, 99, 0, 99, 31, 0, 190, 0, 190, 31, 0, 190, 0, 190, 31, 0, 191, 0, 191, 31, 0, 191, 0, 191, 31, 0, 192, 0, 192, 31, 0, 192, 0, 192, 31, 0, 192, 0, 192, 30, 0, 192, 0, 192, 31, 0, 192, 0, 192, 31, 0, 192, 0, 192, 31, 0, 192, 0, 192,191, 192
256, 54, 0, 155, 0, 155, 55, 0, 350, 0, 350, 53, 0, 350, 0, 350, 53, 0, 350, 0, 350, 55, 0, 350, 0, 350, 55, 0, 351, 0, 351, 52, 0, 351, 0, 351, 53, 0, 358, 0, 358, 53, 0, 358, 0, 358, 53, 0, 358, 0, 358, 53, 0, 358, 0, 358, 53, 0, 358, 0, 358,353, 351
512, 114, 0, 425, 0, 425, 107, 0, 754, 0, 754, 111, 0, 755, 0, 755, 111, 0, 755, 0, 755, 111, 0, 759, 0, 759, 111, 0, 759, 0, 759, 111, 0, 760, 0, 760, 111, 0, 760, 0, 760, 111, 0, 760, 0, 760, 111, 0, 762, 0, 762, 111, 0, 762, 0, 762, 111, 0, 762, 0, 762,758, 760
1024, 215, 0, 276, 0, 276, 215, 0, 277, 0, 277, 215, 0, 277, 0, 277, 217, 0, 277, 0, 277, 215, 0, 278, 0, 278, 215, 0, 281, 0, 281, 215, 0, 281, 0, 281, 215, 0, 282, 0, 282, 218, 0, 840, 0, 840, 215, 0, 1027, 0, 1027, 215, 0, 1253, 0, 1253, 215, 0, 1258, 0, 1258,507, 281
2048, 451, 0, 30, 0, 30, 451, 0, 36, 0, 36, 451, 0, 37, 0, 37, 453, 0, 40, 0, 40, 451, 0, 40, 0, 40, 451, 0, 40, 0, 40, 451, 0, 41, 0, 41, 451, 0, 41, 0, 41, 451, 0, 41, 0, 41, 451, 0, 41, 0, 41, 451, 0, 42, 0, 42, 452, 0, 1589, 0, 1589,40, 41
4096, 917, 0, -227, 0, -227, 917, 0, -218, 0, -218, 917, 0, -213, 0, -213, 917, 0, -213, 0, -213, 917, 0, -213, 0, -213, 917, 0, -213, 0, -213, 917, 0, -212, 0, -212, 917, 0, -212, 0, -212, 917, 0, -212, 0, -212, 917, 0, -212, 0, -212, 917, 0, -209, 0, -209, 917, 0, 2724, 0, 2724,-213, -212
