scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,522,20,6,0,26,498,21,6,0,27,495,21,7,0,28,467,21,7,0,28,483,24,6,0,30,480,24,8,0,32,525,23,13,0,36,477,25,13,0,38,502,26,19,0,45,485,30,20,0,50,509,37,31,0,68,1157,996,87,0,1083,38,36
1,472,19,4,0,23,507,19,5,0,24,477,19,6,0,25,582,19,6,0,25,477,19,6,0,25,498,20,5,0,25,491,20,6,0,26,475,20,6,0,26,558,20,7,0,27,468,20,7,0,27,464,20,7,0,27,496,22,5,0,27,25,26
8,475,20,36,0,56,481,20,37,0,57,502,19,39,0,58,492,19,39,0,58,476,19,40,0,59,475,21,40,0,61,503,24,38,0,62,493,20,46,0,66,457,20,48,0,68,484,20,55,0,75,493,21,59,0,80,466,19,98,0,117,64,62
16,485,19,68,0,87,498,19,70,0,89,473,19,70,0,89,480,19,71,0,90,476,19,71,0,90,484,19,71,0,90,459,20,72,0,92,469,20,73,0,93,465,19,74,0,93,478,22,72,0,94,490,20,75,0,95,474,20,75,0,95,91,92
32,457,19,109,0,128,546,19,110,0,129,473,19,112,0,131,468,19,112,0,131,483,20,111,0,131,473,19,113,0,132,466,20,113,0,133,465,19,114,0,133,483,20,114,0,134,503,19,116,0,135,483,20,115,0,135,497,24,115,0,139,132,133
64,503,18,231,0,249,497,20,230,0,250,513,19,235,0,254,475,19,239,0,258,473,19,240,0,259,482,18,242,0,260,479,21,240,0,261,502,20,241,0,261,1554,19,242,0,261,573,25,248,0,273,469,20,413,0,433,494,19,1030,0,1049,277,261
128,492,19,522,0,541,510,19,526,0,545,591,19,529,0,548,541,19,534,0,553,536,21,533,0,554,535,20,536,0,556,1624,21,659,0,680,631,25,671,0,696,1935,85,630,0,715,656,28,717,0,745,712,29,746,0,775,712,29,752,0,781,636,680
256,579,20,899,0,919,536,23,897,0,920,539,19,909,0,928,531,19,909,0,928,540,19,917,0,936,570,19,919,0,938,558,19,919,0,938,550,20,921,0,941,569,19,930,0,949,536,19,932,0,951,533,19,939,0,958,535,19,942,0,961,938,938
512,631,19,2025,0,2044,622,19,2032,0,2051,629,20,2035,0,2055,583,19,2039,0,2058,613,18,2043,0,2061,626,19,2044,0,2063,596,18,2050,0,2068,617,19,2061,0,2080,605,18,2064,0,2082,603,19,2073,0,2092,607,20,2075,0,2095,604,19,2119,0,2138,2070,2068
1024,720,19,5668,0,5687,696,19,5677,0,5696,785,18,5757,0,5775,703,19,5802,0,5821,698,19,6782,0,6801,937,24,6935,0,6959,843,26,7036,0,7062,834,22,7069,0,7091,913,22,7081,0,7103,824,28,7127,0,7155,916,22,7226,0,7248,869,29,7233,0,7262,6671,7062
2048,940,19,16662,0,16681,976,18,16713,0,16731,940,18,16718,0,16736,945,19,16744,0,16763,974,18,16748,0,16766,1018,19,16767,0,16786,939,19,16777,0,16796,942,19,16838,0,16857,1330,26,20198,0,20224,1134,25,20331,0,20356,1415,26,20406,0,20432,1158,21,20681,0,20702,17844,16796
4096,1536,20,51958,0,51978,1503,18,52037,0,52055,1514,19,52037,0,52056,1473,19,52099,0,52118,1502,18,52165,0,52183,1497,19,52190,0,52209,1450,19,52201,0,52220,1501,18,52211,0,52229,1441,19,52295,0,52314,1446,19,52388,0,52407,1457,19,52398,0,52417,1798,20,52869,0,52889,52220,52220
8192,3761,20,183597,0,183617,2472,21,185045,0,185066,2460,21,185395,0,185416,2486,20,185421,0,185441,2461,20,185589,0,185609,2466,20,185699,0,185719,2510,21,185784,0,185805,2498,20,185861,0,185881,2602,20,185988,0,186008,2461,22,186012,0,186034,2508,20,186023,0,186043,2464,22,186166,0,186188,185702,185805
