scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 275.439949, 18.273222, 6.23844, 0.001415, 24.511662, 259.830058, 18.955944, 6.481372, 0.001229, 25.437316, 269.121003, 19.128643, 6.400176, 0.001351, 25.528819, 295.505142, 19.201947, 6.990054, 0.003358, 26.192001, 265.529606, 19.259823, 6.940204, 0.001172, 26.200027, 266.079694, 19.846149, 8.735218, 9.41E-4, 28.581367, 265.27628, 23.387295, 9.815277, 9.49E-4, 33.202572, 263.464582, 21.7509, 13.377288, 9.87E-4, 35.128188, 289.704735, 25.356783, 17.781061, 0.003403, 43.137844, 287.392207, 27.492415, 20.270225, 0.001034, 47.762640000000005, 316.36289, 33.777267, 28.682296, 0.002962, 62.459563, 1095.465353, 510.814609, 80.484003, 0.011184, 591.298612,35.3630337, 21.7509, 9.815277, 33.202572
1, 272.947089, 17.715521, 4.860568, 0.001407, 22.576089, 269.499928, 17.852641, 4.895856, 0.001188, 22.748497, 257.455004, 18.118216, 4.669426, 0.001286, 22.787641999999998, 261.984483, 18.081264, 4.750015, 0.001047, 22.831279000000002, 250.087943, 18.04337, 5.088572, 0.001333, 23.131942, 257.858499, 18.027362, 5.609879, 0.001195, 23.637241, 266.080757, 17.743236, 5.911514, 0.00173, 23.65475, 272.655173, 17.765243, 6.004045, 0.00125, 23.769288000000003, 286.485391, 17.984057, 5.841551, 0.001337, 23.825608, 255.937244, 18.083829, 6.086858, 0.001331, 24.170687, 260.567901, 17.491639, 7.144566, 0.001316, 24.636205, 267.849361, 19.029721, 6.091698, 0.001265, 25.121419,23.519313899999993, 18.027362, 5.841551, 23.65475
8, 264.415347, 18.103627, 32.467512, 0.001202, 50.571139, 257.236044, 17.814521, 32.911419, 0.001182, 50.72594, 264.049455, 17.99029, 33.340024, 0.001171, 51.330314, 251.581603, 18.109786, 33.637866, 0.001182, 51.747652, 260.561754, 17.783215, 34.185614, 0.001174, 51.968829, 254.267691, 18.391769, 33.797292, 0.001245, 52.189060999999995, 250.87704, 17.988645, 34.609138, 0.001151, 52.59778300000001, 274.619147, 18.212518, 36.896515, 0.001553, 55.109033, 255.333061, 19.150479, 37.759394, 0.001153, 56.909873000000005, 257.953027, 18.36899, 42.775387, 0.001262, 61.144377000000006, 276.430103, 18.440534, 46.105325, 0.001192, 64.54585900000001, 264.117814, 17.043303, 95.440299, 0.001298, 112.48360199999999,54.8268721, 18.212518, 34.609138, 52.59778300000001
16, 258.216952, 17.497337, 62.774061, 0.00115, 80.271398, 257.8517, 18.103341, 62.767568, 0.001121, 80.870909, 267.55033, 18.047933, 62.861505, 0.001118, 80.909438, 250.619518, 17.533187, 64.403279, 0.001406, 81.936466, 250.956131, 17.944932, 64.198145, 0.001363, 82.143077, 258.090836, 18.331199, 64.005648, 0.001108, 82.33684699999999, 272.927156, 17.763735, 64.650211, 0.001307, 82.413946, 257.248506, 17.675936, 65.2627, 0.001151, 82.938636, 254.665483, 17.594412, 65.752489, 0.00125, 83.346901, 254.56001, 17.811375, 66.429351, 0.001143, 84.240726, 255.565863, 17.162716, 69.113501, 0.001232, 86.276217, 270.692094, 17.555527, 70.01602, 0.001235, 87.571547,82.7413163, 17.811375, 64.650211, 82.413946
32, 260.100906, 17.639814, 98.887677, 0.001129, 116.527491, 258.307634, 17.882528, 99.758026, 0.00117, 117.64055400000001, 253.33145, 17.430851, 100.244325, 0.001139, 117.67517600000001, 279.729785, 17.30599, 100.458889, 0.001182, 117.76487900000001, 255.147382, 17.28644, 101.258714, 0.001142, 118.545154, 256.8901, 17.831395, 100.873255, 0.001283, 118.70465, 268.26812, 17.23986, 102.733534, 0.001237, 119.97339400000001, 251.41206, 17.584158, 102.471033, 0.001173, 120.05519100000001, 255.001437, 17.616007, 102.959225, 0.00114, 120.575232, 260.535966, 17.465898, 103.620975, 0.001114, 121.086873, 255.111886, 17.819943, 103.816125, 0.001137, 121.636068, 282.228708, 17.069583, 108.995594, 0.001134, 126.065177,119.36571710000001, 17.584158, 102.471033, 119.97339400000001
64, 281.851311, 17.820032, 209.380508, 0.001239, 227.20054, 266.394652, 17.619488, 209.914965, 0.00125, 227.53445299999998, 270.350825, 17.932234, 209.699255, 0.001588, 227.631489, 260.37223, 17.579446, 210.377049, 0.001284, 227.956495, 268.888451, 18.258126, 209.780351, 0.001088, 228.038477, 262.204223, 17.605836, 211.191863, 0.001074, 228.79769900000002, 258.696973, 17.559742, 211.507933, 0.001357, 229.067675, 260.943552, 17.687774, 211.800766, 0.001319, 229.48854, 266.848791, 17.362964, 212.436387, 0.001173, 229.799351, 260.396597, 17.261577, 215.405856, 0.001314, 232.667433, 273.905895, 21.82369, 212.347599, 0.001279, 234.171289, 260.080505, 18.680243, 225.047654, 0.001158, 243.72789699999998,229.5152901, 17.619488, 211.507933, 229.067675
128, 274.100852, 17.389909, 462.507305, 0.001233, 479.89721399999996, 272.015362, 17.608641, 467.447103, 0.003178, 485.055744, 285.376826, 17.294171, 470.281297, 0.001258, 487.575468, 274.842069, 17.332851, 471.357174, 0.001151, 488.690025, 280.078989, 17.360177, 471.586581, 0.001323, 488.94675800000005, 288.265105, 17.379022, 472.102292, 0.001269, 489.481314, 281.490329, 17.446197, 472.988406, 0.001219, 490.434603, 278.503525, 17.667707, 475.922959, 0.001294, 493.590666, 296.568184, 17.541829, 476.367568, 0.00153, 493.909397, 285.816671, 16.780468, 479.448749, 0.001101, 496.229217, 279.202556, 17.441592, 480.032996, 0.001215, 497.47458800000004, 278.103835, 17.521635, 482.850124, 0.001339, 500.371759,491.138778, 17.441592, 472.988406, 490.434603
256, 321.284021, 17.119685, 810.648684, 0.001368, 827.768369, 306.043315, 17.414588, 817.601882, 0.0012, 835.01647, 303.645018, 17.196525, 818.135162, 0.006009, 835.331687, 309.78179, 17.217302, 819.897279, 0.001203, 837.114581, 311.415352, 17.925823, 824.44945, 0.001297, 842.375273, 302.573089, 17.243068, 826.088265, 0.001348, 843.331333, 308.449773, 17.18762, 826.709888, 0.001309, 843.897508, 306.16484, 17.603746, 826.732263, 0.001233, 844.336009, 312.287345, 17.122295, 829.567395, 0.00117, 846.68969, 322.510108, 18.515234, 830.84613, 0.001226, 849.361364, 331.05136, 17.304047, 833.537741, 0.001402, 850.841788, 303.597755, 17.130024, 839.889405, 0.001202, 857.0194290000001,842.8295703, 17.304047, 826.709888, 843.897508
512, 357.915044, 17.405377, 1855.379368, 0.001401, 1872.7847450000002, 357.953181, 17.234926, 1868.71673, 0.001344, 1885.9516560000002, 362.562722, 17.653302, 1871.099251, 0.001442, 1888.752553, 378.718048, 17.254252, 1873.393745, 0.001246, 1890.647997, 375.629726, 16.904843, 1875.896172, 0.001227, 1892.801015, 356.240785, 17.410205, 1881.563195, 0.001373, 1898.9733999999999, 361.33137, 17.300834, 1887.013055, 0.001234, 1904.3138889999998, 355.701503, 17.337165, 1899.395583, 0.001384, 1916.732748, 374.661679, 17.089649, 1904.974644, 0.001249, 1922.064293, 365.235688, 17.217435, 1904.930828, 0.001295, 1922.148263, 370.603059, 17.43527, 1909.358069, 0.001951, 1926.7933389999998, 361.93344, 17.474786, 1918.15533, 0.001301, 1935.630116,1904.9179152999998, 17.300834, 1887.013055, 1904.3138889999998
1024, 475.243314, 17.297274, 5225.338871, 0.001381, 5242.6361449999995, 477.124163, 17.310196, 5225.898605, 0.001432, 5243.208801000001, 480.009374, 17.114533, 5231.779257, 0.001351, 5248.89379, 475.698917, 21.962484, 5254.007276, 0.001374, 5275.96976, 476.060452, 17.604737, 5260.246958, 0.00124, 5277.851694999999, 467.547995, 17.184008, 5278.478837, 0.001282, 5295.662845, 495.682815, 17.032717, 5287.510815, 0.001222, 5304.543532, 516.365875, 16.824876, 5293.284468, 0.001213, 5310.1093439999995, 479.028842, 17.40071, 5321.292226, 0.001284, 5338.6929359999995, 479.289911, 17.286796, 5326.540406, 0.001231, 5343.827202, 474.792247, 17.396126, 5350.013268, 0.001354, 5367.409393999999, 478.898171, 17.558999, 5390.276577, 0.001288, 5407.8355759999995,5300.6169299, 17.310196, 5287.510815, 5304.543532
