scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 252.092216, 21.501318, 8.181107, 0.001227, 29.682425000000002, 257.19658, 22.09656, 8.119005, 0.001105, 30.215564999999998, 259.304492, 21.470228, 9.104683, 0.001175, 30.574911, 262.494989, 21.676723, 9.682295, 0.001318, 31.359018, 259.426206, 21.949063, 10.662624, 0.001276, 32.611686999999996, 268.357976, 21.987964, 12.299209, 0.00114, 34.287173, 265.079426, 22.437227, 14.47559, 0.001486, 36.912817000000004, 265.645801, 24.556741, 15.083303, 0.001162, 39.640044, 268.155934, 26.342252, 18.526138, 9.15E-4, 44.86839, 268.755412, 29.169178, 28.206929, 0.001096, 57.376107, 280.382433, 40.924704, 43.132738, 9.93E-4, 84.05744200000001, 1054.984342, 537.708843, 84.149499, 0.009673, 621.858342,42.190315399999996, 22.437227, 14.47559, 36.912817000000004
1, 252.444126, 20.274589, 5.812276, 0.00126, 26.086865, 262.513187, 20.268586, 6.501134, 0.001344, 26.76972, 267.99075, 21.080542, 6.004819, 0.003697, 27.085361000000002, 257.92613, 20.336757, 6.86687, 0.00296, 27.203626999999997, 256.855536, 20.490032, 6.716186, 0.003137, 27.206218, 253.613336, 20.295022, 7.006094, 0.001146, 27.301116, 258.439879, 20.556192, 6.850239, 0.001246, 27.406430999999998, 250.460432, 21.200912, 6.384864, 0.001564, 27.585776, 266.35626, 20.829774, 7.267779, 0.001605, 28.097553, 272.878997, 20.745922, 7.462698, 0.001199, 28.20862, 250.844228, 20.365104, 7.846001, 0.001217, 28.211105, 254.960119, 21.389337, 7.503701, 0.001293, 28.893038,27.5075527, 20.556192, 6.86687, 27.406430999999998
8, 248.116713, 20.496427, 39.840785, 0.001195, 60.337211999999994, 248.980068, 20.771406, 40.189879, 0.001147, 60.961285, 253.784048, 20.27527, 40.964766, 0.001441, 61.240035999999996, 265.025335, 20.405075, 41.487581, 0.001173, 61.892656, 256.53659, 21.006286, 40.943297, 0.001391, 61.949583000000004, 248.309267, 20.392646, 44.897585, 0.001323, 65.290231, 251.092567, 21.372087, 44.867553, 0.001302, 66.23964000000001, 253.764518, 20.382085, 45.903918, 0.001484, 66.286003, 255.649427, 28.728801, 41.529419, 0.001063, 70.25822, 267.264689, 20.787965, 57.658665, 0.00124, 78.44663, 255.199014, 25.752337, 54.681246, 0.001227, 80.433583, 252.180371, 20.274372, 104.907847, 0.001178, 125.182219,67.2997867, 20.787965, 44.867553, 66.23964000000001
16, 256.059354, 20.372372, 71.294166, 0.0012, 91.666538, 262.925525, 20.207608, 72.303244, 0.001332, 92.510852, 256.356213, 20.417199, 72.430414, 0.001295, 92.847613, 276.965405, 20.679383, 72.265914, 0.001168, 92.945297, 256.221656, 20.844568, 72.428644, 0.001273, 93.273212, 255.971778, 20.001591, 73.866226, 0.00129, 93.867817, 257.543507, 20.103364, 73.953098, 0.003528, 94.056462, 249.202245, 20.480694, 74.590661, 0.001273, 95.071355, 258.712822, 20.403448, 74.842066, 0.001277, 95.245514, 269.900004, 20.399702, 75.42085, 0.001176, 95.820552, 265.790084, 23.958551, 72.185063, 0.001511, 96.143614, 258.979951, 24.092181, 75.744329, 0.001232, 99.83650999999999,94.1782288, 20.417199, 73.866226, 94.056462
32, 263.154849, 20.139846, 111.439583, 0.001312, 131.579429, 253.013766, 20.374444, 111.230992, 0.001576, 131.605436, 259.311982, 20.282546, 111.705304, 0.00131, 131.98785, 265.821355, 20.171367, 112.465134, 0.001322, 132.636501, 273.874396, 20.755687, 112.072063, 0.001371, 132.82775, 258.426139, 20.933569, 112.709836, 0.001311, 133.643405, 255.887185, 20.233611, 113.418018, 0.001151, 133.651629, 263.360428, 20.778613, 112.882632, 0.001281, 133.661245, 260.09715, 20.166762, 113.696299, 0.001328, 133.863061, 281.295565, 20.251788, 114.012009, 0.001224, 134.263797, 267.050748, 19.951095, 114.779056, 0.003186, 134.730151, 258.113496, 20.254224, 114.863601, 0.001263, 135.117825,133.28708250000003, 20.282546, 112.882632, 133.651629
64, 261.518481, 20.341779, 222.725495, 0.002455, 243.067274, 276.358506, 19.820811, 224.545729, 0.002453, 244.36654, 265.460035, 20.984595, 224.6131, 0.001297, 245.597695, 270.121862, 19.840593, 225.786202, 0.001268, 245.62679500000002, 276.550503, 20.242216, 225.609395, 0.00127, 245.851611, 265.312705, 20.396493, 225.536867, 0.001866, 245.93336, 278.837326, 20.224211, 226.212504, 0.001509, 246.436715, 263.913861, 21.497859, 226.363246, 0.001272, 247.861105, 281.045651, 19.604948, 230.186731, 0.002025, 249.79167900000002, 268.113499, 20.017851, 230.644111, 0.001592, 250.66196200000002, 261.838528, 20.214031, 231.100279, 0.002353, 251.31431, 279.38893, 20.182331, 231.439629, 0.002506, 251.62196,247.34417720000002, 20.224211, 226.212504, 246.436715
128, 280.565676, 19.861039, 469.128532, 0.001284, 488.989571, 282.220365, 20.225231, 469.842666, 0.001331, 490.067897, 277.871674, 19.89115, 471.875277, 0.001238, 491.76642699999996, 277.959609, 19.799638, 473.062188, 0.001776, 492.861826, 277.35328, 20.16188, 477.036293, 0.001126, 497.198173, 293.868048, 20.062019, 478.467069, 0.001178, 498.529088, 273.404259, 19.800416, 479.885065, 0.001189, 499.685481, 276.179637, 20.127035, 480.295564, 0.001192, 500.422599, 282.336295, 20.460799, 480.122622, 0.001184, 500.583421, 274.300862, 20.027463, 485.343673, 0.001282, 505.37113600000004, 276.322331, 19.586135, 492.622489, 0.001142, 512.208624, 274.069408, 20.036317, 498.949049, 0.001522, 518.985366,498.8694672, 20.062019, 479.885065, 499.685481
256, 312.260888, 19.747285, 748.123532, 0.001357, 767.870817, 303.140631, 19.688944, 754.649244, 0.001256, 774.338188, 303.701226, 21.088032, 758.27278, 0.00122, 779.360812, 306.847334, 20.03648, 759.647798, 0.001323, 779.684278, 322.461405, 19.928303, 764.946221, 0.001571, 784.8745240000001, 307.449642, 20.093791, 767.679298, 0.001274, 787.773089, 302.592621, 20.096672, 768.441855, 0.001239, 788.538527, 306.520814, 19.951706, 772.129495, 0.001274, 792.081201, 305.583799, 20.092826, 779.466951, 0.001364, 799.5597769999999, 313.848487, 22.19973, 780.553138, 0.001303, 802.752868, 305.227321, 20.035071, 783.431145, 0.001271, 803.466216, 307.506606, 19.24414, 794.525491, 0.001223, 813.769631,789.242948, 20.092826, 768.441855, 788.538527
512, 374.419464, 20.1084, 1422.720268, 0.001319, 1442.828668, 358.764726, 19.759554, 1430.905936, 0.001359, 1450.66549, 376.78601, 21.421521, 1429.915097, 0.001298, 1451.336618, 362.414844, 19.929464, 1436.719777, 0.001433, 1456.649241, 364.349109, 20.004704, 1438.992023, 0.00133, 1458.996727, 365.910608, 19.894247, 1441.96698, 0.001658, 1461.8612269999999, 356.505764, 19.859985, 1442.356695, 0.001306, 1462.21668, 369.852147, 19.34647, 1442.97617, 0.001336, 1462.3226399999999, 358.739933, 19.666893, 1443.976344, 0.001417, 1463.643237, 370.454835, 20.02131, 1449.106359, 0.001354, 1469.1276690000002, 364.9944, 20.006383, 1450.722195, 0.001329, 1470.728578, 359.577527, 20.233709, 1460.474152, 0.001326, 1480.707861,1460.7548106999998, 19.929464, 1442.356695, 1462.21668
1024, 477.86701, 20.113393, 2909.590051, 0.001655, 2929.703444, 481.913336, 19.58688, 2910.677845, 0.001591, 2930.264725, 488.181125, 19.856956, 2915.316888, 0.001763, 2935.173844, 476.366024, 19.85091, 2917.270841, 0.001262, 2937.121751, 477.707261, 19.839763, 2919.576947, 0.001413, 2939.41671, 473.779606, 20.148974, 2927.404965, 0.0016, 2947.5539390000004, 476.096755, 20.194968, 2934.875365, 0.001155, 2955.0703329999997, 472.049036, 19.920879, 2950.220886, 0.001381, 2970.141765, 483.294468, 19.919855, 2951.742243, 0.001418, 2971.6620980000002, 489.030141, 20.003975, 2966.700906, 0.001287, 2986.704881, 474.102335, 20.182122, 2970.187321, 0.00136, 2990.369443, 473.424759, 20.301392, 2982.607971, 0.00382, 3002.9093629999998,2956.3479489, 19.920879, 2934.875365, 2955.0703329999997
