scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1, 3, 19, 5, 5, 24, 5, 17, 7, 4, 24, 3, 19, 6, 9, 25, 4, 17, 8, 9, 25, 3, 20, 10, 8, 30, 4, 23, 10, 6, 33, 4, 24, 11, 9, 35, 5, 26, 13, 6, 39, 9, 30, 17, 10, 47, 9, 35, 20, 16, 55, 12, 43, 27, 23, 70, 314, 470, 106, 48, 576,38, 35
1, 2, 13, 3, 4, 16, 2, 14, 4, 4, 18, 2, 14, 4, 4, 18, 2, 14, 5, 5, 19, 2, 15, 5, 7, 20, 3, 15, 5, 5, 20, 4, 16, 5, 5, 21, 3, 16, 5, 7, 21, 2, 15, 6, 4, 21, 3, 16, 6, 6, 22, 2, 17, 5, 6, 22, 3, 18, 7, 5, 25,20, 21
8, 4, 16, 15, 18, 31, 4, 18, 16, 19, 34, 3, 17, 17, 15, 34, 4, 19, 17, 16, 36, 4, 17, 19, 17, 36, 3, 17, 19, 16, 36, 5, 17, 20, 17, 37, 3, 18, 19, 16, 37, 3, 19, 18, 16, 37, 4, 19, 22, 14, 41, 8, 19, 23, 17, 42, 11, 20, 24, 16, 44,37, 37
16, 6, 22, 34, 32, 56, 5, 24, 32, 31, 56, 5, 22, 34, 31, 56, 5, 23, 33, 28, 56, 6, 23, 34, 33, 57, 6, 24, 33, 33, 57, 5, 22, 35, 32, 57, 5, 23, 34, 32, 57, 12, 25, 34, 34, 59, 5, 23, 36, 36, 59, 5, 24, 37, 31, 61, 7, 23, 39, 34, 62,57, 57
32, 8, 36, 57, 58, 93, 8, 33, 62, 59, 95, 8, 36, 60, 57, 96, 11, 35, 62, 59, 97, 9, 33, 64, 60, 97, 9, 35, 62, 59, 97, 15, 34, 64, 56, 98, 8, 38, 60, 62, 98, 8, 36, 63, 66, 99, 10, 33, 68, 62, 101, 8, 36, 67, 57, 103, 8, 37, 67, 60, 104,98, 98
64, 15, 63, 133, 117, 196, 13, 63, 133, 115, 196, 13, 64, 134, 109, 198, 15, 66, 134, 121, 200, 16, 64, 144, 123, 208, 17, 73, 186, 158, 259, 17, 88, 177, 150, 265, 21, 89, 181, 148, 270, 18, 79, 192, 157, 271, 18, 82, 191, 157, 273, 22, 89, 189, 150, 278, 15, 72, 217, 147, 289,241, 265
128, 38, 154, 388, 333, 542, 33, 167, 389, 343, 556, 35, 163, 394, 326, 557, 32, 157, 421, 334, 578, 34, 181, 414, 361, 595, 33, 163, 432, 327, 595, 32, 159, 440, 332, 599, 32, 152, 449, 348, 601, 40, 177, 427, 360, 604, 39, 182, 427, 387, 609, 40, 165, 444, 319, 609, 37, 168, 450, 385, 618,590, 599
256, 56, 273, 534, 447, 807, 80, 259, 554, 474, 813, 50, 267, 553, 469, 820, 69, 382, 746, 637, 1128, 62, 356, 774, 593, 1130, 68, 367, 771, 723, 1138, 71, 383, 767, 675, 1150, 65, 399, 759, 677, 1158, 63, 391, 776, 598, 1167, 61, 393, 796, 600, 1189, 75, 421, 777, 604, 1198, 63, 371, 829, 603, 1200,1089, 1150
512, 113, 542, 1086, 960, 1628, 112, 533, 1098, 961, 1631, 111, 534, 1101, 939, 1635, 104, 539, 1113, 928, 1652, 101, 544, 1111, 931, 1655, 104, 546, 1114, 950, 1660, 101, 557, 1105, 952, 1662, 106, 541, 1125, 896, 1666, 104, 551, 1120, 917, 1671, 106, 570, 1123, 958, 1693, 113, 552, 1148, 912, 1700, 106, 551, 1163, 928, 1714,1662, 1662
1024, 205, 1248, 2405, 1871, 3653, 222, 1229, 2448, 1873, 3677, 219, 1232, 2469, 1922, 3701, 216, 1221, 2486, 1890, 3707, 209, 1222, 2492, 1936, 3714, 218, 1219, 2497, 1921, 3716, 230, 1216, 2505, 1927, 3721, 225, 1221, 2503, 1874, 3724, 214, 1223, 2516, 1887, 3739, 226, 1281, 2483, 1880, 3764, 220, 1257, 2514, 1840, 3771, 231, 1311, 2579, 1923, 3890,3723, 3721
2048, 433, 2733, 5313, 3815, 8046, 440, 2623, 5428, 3859, 8051, 433, 2664, 5422, 3862, 8086, 457, 2640, 5446, 3912, 8086, 430, 2733, 5401, 3856, 8134, 452, 2743, 5393, 3857, 8136, 449, 2776, 5369, 3827, 8145, 428, 2742, 5417, 3878, 8159, 460, 2729, 5432, 3885, 8161, 446, 2730, 5444, 3826, 8174, 452, 2824, 5401, 3849, 8225, 550, 2926, 5704, 4432, 8630,8135, 8145
4096, 903, 6141, 10140, 8072, 16281, 882, 6261, 10116, 8134, 16377, 872, 6395, 10073, 8034, 16468, 899, 6270, 10206, 8055, 16476, 871, 6320, 10163, 8053, 16483, 886, 6454, 10042, 8076, 16496, 905, 6339, 10202, 8065, 16541, 893, 6396, 10151, 8074, 16547, 893, 6409, 10206, 7964, 16615, 927, 6392, 10280, 8107, 16672, 881, 6383, 10416, 7968, 16799, 1170, 6334, 10680, 8550, 17014,16547, 16541
8192, 1894, 13801, 20162, 16277, 33963, 1840, 13969, 20093, 16569, 34062, 1893, 14064, 20054, 16466, 34118, 1857, 13663, 20465, 16366, 34128, 1906, 14068, 20085, 16345, 34153, 1831, 13939, 20228, 16411, 34167, 1867, 14071, 20155, 16572, 34226, 1899, 14372, 19935, 16490, 34307, 1833, 14169, 20154, 16495, 34323, 1898, 14114, 20266, 16644, 34380, 1890, 14310, 20115, 16664, 34425, 2388, 15039, 20852, 17528, 35891,34228, 34226
16384, 4921, 33910, 40536, 35635, 74446, 4710, 33992, 40629, 35363, 74621, 4895, 33878, 40747, 35765, 74625, 4877, 34177, 40728, 35299, 74905, 4693, 34186, 40940, 35400, 75126, 4712, 34583, 40756, 35725, 75339, 4621, 35048, 40325, 36437, 75373, 4726, 34995, 40551, 36927, 75546, 4720, 34786, 40921, 35450, 75707, 4694, 36389, 40464, 36094, 76853, 4634, 35661, 41199, 37173, 76860, 4714, 36070, 41366, 38402, 77436,75495, 75373
