scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 146.208229, 15.209929, 6.439933, 0.001171, 21.649862, 152.640944, 16.641219, 5.258514, 0.001355, 21.899732999999998, 147.719281, 17.13639, 5.878242, 9.99E-4, 23.014632, 146.678791, 18.977861, 8.167575, 0.001095, 27.145436, 149.63669, 18.8821, 8.616579, 0.001177, 27.498679000000003, 146.536356, 20.890821, 9.009448, 0.003021, 29.900269, 154.520228, 22.636671, 10.900657, 0.001366, 33.537328, 147.517775, 26.080858, 13.244205, 9.98E-4, 39.325063, 150.308504, 32.0585, 16.014437, 0.00108, 48.072937, 157.872752, 38.041466, 20.342954, 9.24E-4, 58.38442, 159.112088, 47.155488, 25.485725, 9.11E-4, 72.641213, 830.540784, 1299.031307, 106.900284, 0.011823, 1405.931591,38.141971, 22.636671, 10.900657, 33.537328
1, 150.052236, 12.578742, 3.89479, 0.001035, 16.473532, 152.339795, 13.297915, 4.234405, 0.001104, 17.53232, 162.718584, 13.455725, 4.094243, 0.004283, 17.549968, 157.650375, 13.523268, 4.100782, 0.001051, 17.62405, 153.027596, 13.781637, 4.090213, 0.001109, 17.871850000000002, 152.687157, 13.170496, 4.717774, 9.78E-4, 17.88827, 147.822138, 14.036951, 3.86385, 9.39E-4, 17.900801, 149.436069, 14.467119, 4.376798, 0.001353, 18.843917, 151.383067, 14.59173, 4.43948, 0.001999, 19.03121, 150.52111, 14.907878, 4.504211, 9.99E-4, 19.412089, 151.739797, 16.238996, 4.371418, 0.001194, 20.610414, 149.923461, 16.275483, 5.184555, 0.001222, 21.460038,18.426488900000003, 14.036951, 4.371418, 17.900801
8, 154.5472, 14.577771, 16.835455, 0.001332, 31.413226, 151.113654, 16.391112, 16.567451, 0.001161, 32.958563, 150.766333, 16.77606, 17.281999, 0.001, 34.058059, 145.412572, 17.341842, 17.119456, 0.001192, 34.461298, 155.247083, 15.867858, 18.751867, 9.54E-4, 34.619725, 148.010469, 16.751542, 17.872457, 0.001151, 34.623999, 148.943794, 17.385489, 18.62579, 0.001118, 36.011279, 146.475307, 17.144288, 18.989682, 9.62E-4, 36.13397, 152.023064, 17.252068, 20.223715, 0.001133, 37.475783, 166.168184, 17.848177, 20.289991, 0.001007, 38.138168, 180.089819, 18.170507, 21.998227, 0.001022, 40.168734, 164.576115, 19.567449, 24.84372, 0.001004, 44.411169,35.8649578, 17.252068, 18.751867, 36.011279
16, 149.387152, 21.418404, 31.751697, 0.002836, 53.170101, 145.897247, 21.475699, 32.45622, 0.001104, 53.931919, 152.966055, 20.960393, 33.064247, 0.001258, 54.024640000000005, 152.798939, 21.48935, 33.023315, 0.001122, 54.512665, 147.206789, 21.807879, 33.357551, 0.001208, 55.16543, 159.569546, 22.348643, 33.42518, 0.001166, 55.77382299999999, 153.92949, 22.604055, 33.398635, 0.001143, 56.00269, 152.005797, 22.542389, 33.577725, 9.98E-4, 56.120114, 147.168294, 23.934037, 32.535993, 0.001317, 56.470029999999994, 149.321503, 23.321872, 34.061815, 0.001152, 57.383687, 159.011974, 23.820212, 34.067141, 0.001147, 57.887353000000004, 153.112918, 23.89173, 37.525523, 0.003014, 61.417253,55.727235099999994, 22.542389, 33.398635, 56.00269
32, 153.076391, 32.427908, 60.487775, 0.001122, 92.915683, 155.888246, 34.064141, 58.902674, 0.001296, 92.966815, 150.884163, 34.437209, 58.549763, 0.001287, 92.98697200000001, 165.281941, 33.762543, 59.715819, 0.001048, 93.478362, 154.411734, 35.792789, 58.379713, 0.001456, 94.17250200000001, 160.035322, 36.166497, 58.270329, 0.001336, 94.436826, 155.986537, 33.286769, 61.191766, 0.001372, 94.478535, 165.487002, 33.819713, 60.74516, 0.001269, 94.564873, 157.363912, 33.668489, 61.177755, 0.001244, 94.846244, 155.362644, 34.000779, 63.243143, 0.003538, 97.243922, 154.238589, 32.731666, 65.402726, 0.001184, 98.13439199999999, 158.489778, 34.220646, 64.139266, 0.001185, 98.35991200000001,94.73094429999999, 34.000779, 60.74516, 94.478535
64, 165.235705, 56.345057, 127.948332, 9.0E-4, 184.293389, 162.783921, 56.818898, 128.634106, 0.001103, 185.453004, 165.090565, 56.46738, 130.593858, 0.001429, 187.061238, 158.571472, 57.224717, 130.003405, 0.001022, 187.22812199999998, 156.228429, 57.377664, 130.640903, 0.001304, 188.01856700000002, 158.745162, 57.506086, 130.793544, 0.001045, 188.29963, 162.248548, 58.465616, 131.369909, 0.001188, 189.83552500000002, 157.52073, 58.606967, 135.781854, 0.001005, 194.388821, 161.084609, 64.217564, 130.226555, 0.003138, 194.444119, 158.741374, 61.429824, 133.765148, 0.001312, 195.194972, 160.894068, 57.675373, 140.060928, 0.001105, 197.736301, 179.817619, 63.643424, 135.894304, 0.001328, 199.53772800000002,190.76602989999998, 57.675373, 130.793544, 189.83552500000002
128, 175.447232, 113.700538, 288.709014, 0.00137, 402.409552, 176.778445, 114.911137, 288.788764, 0.00129, 403.699901, 167.128604, 117.731564, 286.535585, 0.001303, 404.267149, 169.558434, 114.796915, 289.618379, 0.001195, 404.415294, 174.681621, 113.499285, 291.78453, 0.001026, 405.283815, 177.034654, 115.65646, 290.121315, 0.001086, 405.77777499999996, 178.521977, 121.203125, 286.712507, 0.001054, 407.915632, 171.585032, 123.122246, 286.190923, 0.001216, 409.313169, 176.14544, 117.956607, 291.625564, 0.001165, 409.582171, 174.548224, 113.671559, 297.327013, 0.001218, 410.998572, 193.997808, 120.533106, 295.702804, 0.001012, 416.23591, 170.926564, 115.052116, 309.473596, 0.00109, 424.525712,407.7489388, 117.731564, 290.121315, 407.915632
256, 202.307676, 254.154058, 516.489646, 0.001298, 770.643704, 214.471428, 256.393594, 524.581069, 0.001263, 780.974663, 202.877735, 251.679316, 530.338749, 0.001233, 782.018065, 202.961366, 259.143328, 524.083338, 0.001122, 783.226666, 199.493662, 259.44488, 526.208937, 0.001219, 785.653817, 202.116073, 264.318456, 521.410576, 0.003014, 785.729032, 213.558243, 251.048222, 535.418388, 0.001489, 786.4666100000001, 196.048134, 255.048971, 533.233604, 0.001246, 788.282575, 197.294626, 256.394196, 532.094359, 0.001629, 788.4885550000001, 205.850147, 255.55211, 533.66355, 0.001549, 789.21566, 199.106885, 263.918862, 527.926688, 0.001245, 791.84555, 196.680663, 269.219982, 530.537158, 0.001347, 799.7571399999999,786.1901193, 256.394196, 530.338749, 786.4666100000001
512, 252.495139, 511.47599, 1068.140108, 0.004462, 1579.616098, 252.664788, 501.248338, 1079.698547, 0.001461, 1580.9468849999998, 258.060769, 501.855566, 1086.305735, 0.001212, 1588.1613009999999, 263.206025, 507.218537, 1090.61004, 0.003041, 1597.828577, 258.261281, 501.985307, 1100.670892, 0.001497, 1602.656199, 259.141219, 519.183775, 1084.464943, 0.001603, 1603.648718, 257.070191, 525.052825, 1082.048803, 0.001403, 1607.101628, 256.759692, 518.394047, 1089.247298, 0.001703, 1607.641345, 253.738829, 510.465701, 1105.082773, 0.001288, 1615.5484740000002, 258.875968, 549.102017, 1076.944753, 0.001152, 1626.04677, 255.526718, 525.162138, 1102.923881, 0.001362, 1628.0860189999999, 270.786387, 530.021245, 1130.494898, 0.00124, 1660.5161429999998,1605.7665916, 518.394047, 1089.247298, 1607.101628
1024, 360.511658, 1156.890352, 2379.586075, 0.001381, 3536.476427, 369.201201, 1144.958753, 2401.464422, 0.001133, 3546.423175, 370.822174, 1163.480396, 2384.093819, 0.004869, 3547.574215, 384.360701, 1163.373247, 2387.369336, 0.001757, 3550.742583, 368.910381, 1155.587125, 2402.204151, 0.00144, 3557.791276, 369.436549, 1168.02871, 2390.318241, 0.001722, 3558.346951, 359.097596, 1158.184876, 2404.907926, 0.001264, 3563.092802, 368.621372, 1178.237666, 2394.157363, 0.001242, 3572.395029, 363.657244, 1157.647342, 2430.456279, 0.001561, 3588.103621, 381.13849, 1200.485616, 2399.692032, 0.002269, 3600.177648, 362.850579, 1254.949101, 2415.647813, 0.001382, 3670.5969139999997, 390.806287, 1220.234471, 2525.876081, 0.001473, 3746.110552,3575.5244214, 1163.480396, 2401.464422, 3563.092802
