scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,149,0,3,5,3,145,0,3,5,3,168,0,4,6,4,148,0,4,5,4,157,0,5,9,5,179,0,5,7,5,150,0,7,7,7,155,0,9,11,9,152,0,10,7,10,167,0,14,16,14,173,0,16,21,16,708,0,82,52,82,7,7
1,184,0,2,4,2,177,0,2,4,2,157,0,2,4,2,143,0,2,5,2,152,0,2,5,2,163,0,2,4,2,155,0,2,5,2,148,0,2,3,2,148,0,2,4,2,171,0,3,6,3,141,0,3,4,3,151,0,3,5,3,2,2
8,153,0,5,16,5,170,0,5,16,5,144,0,5,17,5,159,0,5,16,5,147,0,5,17,5,150,0,7,16,7,144,0,8,17,8,146,0,8,17,8,145,0,10,16,10,152,0,11,17,11,147,0,11,18,11,165,0,14,23,14,7,8
16,154,0,10,31,10,161,0,10,32,10,163,0,10,31,10,149,0,10,32,10,152,0,11,31,11,153,0,11,33,11,148,0,11,32,11,146,0,11,31,11,149,0,11,32,11,156,0,11,31,11,160,0,11,31,11,169,0,12,31,12,10,11
32,150,0,17,58,17,153,0,17,58,17,160,0,19,61,19,175,0,19,59,19,159,0,20,57,20,153,0,20,61,20,173,0,20,59,20,151,0,20,59,20,173,0,20,57,20,158,0,21,54,21,165,0,22,57,22,159,0,28,57,28,19,20
64,156,0,53,165,53,194,0,58,148,58,195,0,59,157,59,213,0,61,152,61,193,0,62,141,62,193,0,63,146,63,207,0,63,162,63,196,0,64,140,64,202,0,64,146,64,200,0,65,144,65,219,0,68,169,68,203,0,74,161,74,62,63
128,165,0,81,214,81,167,0,81,231,81,162,0,81,213,81,184,0,81,218,81,165,0,83,214,83,171,0,84,217,84,198,0,85,228,85,169,0,86,247,86,168,0,86,230,86,173,0,86,230,86,167,0,89,229,89,223,0,230,245,230,84,85
256,203,0,171,446,171,197,0,173,480,173,190,0,173,455,173,195,0,173,482,173,196,0,174,462,174,205,0,174,468,174,197,0,175,440,175,194,0,176,457,176,196,0,177,489,177,194,0,178,428,178,222,0,181,456,181,199,0,197,460,197,175,175
512,252,0,364,929,364,242,0,364,920,364,266,0,366,928,366,245,0,367,938,367,239,0,367,915,367,245,0,368,937,368,257,0,369,916,369,244,0,373,945,373,260,0,374,937,374,266,0,381,962,381,260,0,381,913,381,263,0,390,972,390,371,369
1024,363,0,765,1861,765,468,0,777,1821,777,466,0,1297,2332,1297,473,0,1313,2555,1313,445,0,1316,2542,1316,474,0,1335,2506,1335,463,0,1336,2320,1336,443,0,1367,2369,1367,434,0,1391,2377,1391,483,0,1396,2399,1396,508,0,1427,2416,1427,382,0,1460,2584,1460,1295,1336
2048,562,0,1657,3751,1657,592,0,1664,3710,1664,614,0,1671,3716,1671,581,0,1675,3744,1675,583,0,1682,3654,1682,580,0,1690,3802,1690,567,0,1695,3697,1695,561,0,1703,3702,1703,620,0,1715,3677,1715,582,0,1727,3757,1727,629,0,1747,3904,1747,607,0,1901,4159,1901,1696,1695
4096,1019,0,3135,7625,3135,1013,0,3142,7655,3142,1332,0,3148,7618,3148,1015,0,3157,7830,3157,1028,0,3162,7578,3162,1030,0,3165,7657,3165,1055,0,3183,7856,3183,1003,0,3198,7713,3198,1131,0,3465,7323,3465,1317,0,5484,10011,5484,1015,0,5508,9947,5508,1307,0,5614,9791,5614,3661,3183
8192,1906,0,6592,15764,6592,1878,0,6607,15730,6607,1899,0,6622,15604,6622,1888,0,6625,15618,6625,1897,0,6633,15941,6633,1896,0,6643,15722,6643,1872,0,6644,15768,6644,2041,0,6651,16096,6651,1881,0,6657,15725,6657,1903,0,6662,15628,6662,1941,0,6702,15742,6702,1936,0,6712,15798,6712,6644,6644
16384,4537,0,13087,33606,13087,4528,0,13138,32048,13138,4384,0,13140,32031,13140,4448,0,13150,32513,13150,4544,0,13154,31779,13154,4369,0,13191,32124,13191,4367,0,13192,32054,13192,4491,0,13209,32044,13209,4453,0,13236,32182,13236,4362,0,13255,31927,13255,4400,0,13256,32062,13256,4426,0,13279,32043,13279,13192,13192
32768,9127,0,27792,0,27792,9026,0,27822,0,27822,9248,0,27830,0,27830,9299,0,27838,0,27838,9012,0,27863,0,27863,8988,0,27867,0,27867,9056,0,27901,0,27901,9084,0,27974,0,27974,9001,0,27989,0,27989,9001,0,27999,0,27999,9020,0,28098,0,28098,10393,0,29351,0,29351,27918,27901
