scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 190.20342, 0.001127, 3.711376, 0.005096, 3.712503, 201.337266, 0.001119, 3.723787, 0.001162, 3.7249060000000003, 198.351282, 0.001169, 4.151691, 0.001131, 4.1528599999999996, 184.554512, 0.001614, 4.371889, 0.00116, 4.373503, 212.858772, 0.001077, 6.248583, 8.57E-4, 6.24966, 210.021282, 0.001101, 6.854813, 9.86E-4, 6.855914, 196.636667, 9.67E-4, 7.01107, 0.00113, 7.012037, 201.523306, 0.00105, 7.219306, 0.001005, 7.220356, 246.017073, 0.001169, 11.530938, 0.001115, 11.532107000000002, 196.564562, 9.49E-4, 15.40168, 0.001045, 15.402629000000001, 214.831259, 0.001251, 19.056997, 0.001112, 19.058248, 906.585767, 0.012379, 72.022542, 0.01129, 72.034921,8.558222, 0.001119, 7.01107, 7.012037
1, 197.700152, 0.00113, 1.901692, 9.65E-4, 1.902822, 198.676993, 0.001777, 2.168466, 0.001036, 2.170243, 208.875976, 0.001245, 2.211609, 0.001182, 2.212854, 196.991316, 0.001222, 2.36686, 0.001138, 2.368082, 204.08147, 0.001471, 2.379867, 0.003167, 2.381338, 192.484963, 0.00146, 2.836278, 0.00116, 2.837738, 199.231852, 0.001338, 2.897189, 0.001249, 2.898527, 206.076433, 0.001217, 3.482174, 0.001165, 3.483391, 196.564501, 0.001079, 3.822487, 0.001033, 3.823566, 193.967681, 0.001377, 4.333495, 9.92E-4, 4.334872, 196.547886, 0.001394, 4.335271, 0.001102, 4.336665, 204.92149, 0.001494, 4.459333, 0.001562, 4.460827,3.0847276, 0.001377, 2.897189, 2.898527
8, 194.379758, 0.001371, 5.36397, 0.001214, 5.365341, 188.855807, 0.001422, 5.444745, 0.001277, 5.446167, 186.301172, 0.00126, 6.022136, 0.001347, 6.023396, 197.917782, 0.001124, 6.453163, 0.001084, 6.454287, 210.157858, 0.001127, 6.617448, 0.001078, 6.618575000000001, 201.134004, 0.001208, 6.87281, 0.00128, 6.874018, 200.394964, 0.003058, 6.900068, 0.001191, 6.903126, 208.932089, 0.001398, 7.023161, 0.001502, 7.024559, 196.770288, 0.003103, 8.089121, 0.001024, 8.092224, 199.82149, 0.001195, 9.401799, 0.001412, 9.402994, 210.917038, 0.001257, 10.744117, 0.011762, 10.745374, 199.794862, 0.001153, 12.613846, 0.001048, 12.614999000000001,7.358472000000001, 0.00126, 6.900068, 6.903126
16, 212.017949, 0.001111, 10.591376, 0.001465, 10.592487, 207.965499, 0.001274, 10.717319, 0.001081, 10.718593, 189.230757, 0.001761, 10.833606, 0.003211, 10.835367, 188.593965, 0.001252, 10.999465, 0.001346, 11.000717, 190.451058, 0.001703, 11.132583, 0.0011, 11.134286, 189.413494, 0.001429, 11.252875, 0.001185, 11.254304, 186.232674, 0.00136, 11.447836, 0.003078, 11.449196, 204.819959, 0.001283, 11.586341, 0.001586, 11.587624, 205.061587, 0.003053, 11.662019, 0.001202, 11.665072, 192.128691, 0.001189, 11.930304, 0.001133, 11.931493, 185.881062, 0.001614, 12.079698, 0.001214, 12.081312, 198.660615, 0.001251, 12.928487, 0.003433, 12.929738,11.365796399999999, 0.001429, 11.447836, 11.449196
32, 200.580798, 0.004066, 19.45027, 0.001454, 19.454336, 210.045985, 0.001396, 21.029969, 0.00314, 21.031365, 200.211227, 0.001681, 21.278646, 0.001196, 21.280327, 196.884711, 0.001265, 21.406421, 0.001195, 21.407686, 199.071434, 0.001944, 22.066581, 0.001724, 22.068525, 189.906287, 0.001392, 22.394864, 0.001194, 22.396255999999997, 198.081239, 0.003288, 22.417025, 0.001409, 22.420313, 207.753872, 0.001171, 22.824728, 0.001464, 22.825899, 211.503138, 0.003213, 23.021114, 0.001546, 23.024327, 230.303805, 0.001709, 25.632648, 0.0014, 25.634357, 200.871054, 0.001833, 25.736576, 0.005441, 25.738409, 197.74951, 0.010242, 27.582192, 0.003557, 27.592434,22.782746399999997, 0.001709, 22.417025, 22.420313
64, 205.455331, 0.00128, 37.944034, 0.001882, 37.945314, 226.554449, 0.001798, 38.517706, 0.001215, 38.519504, 207.223634, 0.001282, 39.074724, 0.001552, 39.07600600000001, 215.961298, 0.011771, 42.904539, 0.003072, 42.91631, 198.897436, 0.00152, 43.429413, 0.00165, 43.430932999999996, 212.956796, 0.001528, 43.448512, 0.001415, 43.45004, 216.367879, 0.001277, 43.806782, 0.001285, 43.808059, 205.932522, 0.001786, 45.020431, 0.001134, 45.022217000000005, 198.40494, 0.001162, 46.505673, 0.001283, 46.506835, 213.469182, 0.001237, 48.714594, 0.001195, 48.715831, 229.648136, 0.001957, 50.007494, 0.002117, 50.009451, 201.920265, 0.001225, 51.645793, 0.001279, 51.647017999999996,44.1455186, 0.001528, 43.806782, 43.808059
128, 235.077026, 0.001267, 78.087372, 0.004821, 78.088639, 212.65922, 0.001266, 78.51757, 0.001414, 78.51883600000001, 212.019445, 0.001428, 79.028736, 0.001704, 79.030164, 208.961946, 0.001464, 79.298989, 0.001271, 79.300453, 204.272691, 0.001242, 86.068071, 0.003172, 86.06931300000001, 261.227609, 0.003178, 86.624068, 0.001265, 86.627246, 263.4259, 0.001495, 88.333181, 0.001389, 88.334676, 226.518789, 0.00131, 90.899783, 0.001963, 90.901093, 229.279075, 0.001549, 91.487428, 0.001514, 91.48897699999999, 213.105321, 0.001361, 91.954674, 0.001525, 91.956035, 215.681794, 0.001337, 92.427014, 0.002628, 92.428351, 236.321104, 0.001353, 97.401346, 0.001421, 97.402699,86.4655144, 0.001428, 88.333181, 88.334676
256, 253.4773, 0.001278, 173.708048, 0.001281, 173.709326, 237.245224, 0.00128, 174.381462, 0.001414, 174.382742, 258.278637, 0.00134, 176.10938, 0.001302, 176.11072, 234.364992, 0.0013, 176.778423, 0.001239, 176.779723, 267.486989, 0.001414, 178.066836, 0.001256, 178.06825, 237.580831, 0.001291, 179.450733, 0.00342, 179.45202400000002, 235.323203, 0.003557, 181.314453, 0.00142, 181.31801, 236.814487, 0.001343, 182.367557, 0.003097, 182.3689, 234.09174, 0.001276, 183.083677, 0.001212, 183.08495299999998, 246.648248, 0.001287, 183.398381, 0.001334, 183.399668, 229.195518, 0.001292, 183.764925, 0.001355, 183.766217, 245.482877, 0.001384, 191.158394, 0.001485, 191.159778,179.87312070000002, 0.0013, 181.314453, 181.31801
512, 303.362122, 0.001379, 378.007342, 0.001478, 378.008721, 285.814589, 0.003164, 379.550056, 0.001198, 379.55322, 290.199584, 0.001494, 381.626608, 0.001313, 381.62810199999996, 275.455177, 0.001662, 384.094082, 0.001381, 384.095744, 287.971791, 0.001393, 384.91679, 0.001139, 384.918183, 296.684243, 0.001516, 385.20776, 0.001319, 385.209276, 280.097309, 0.001438, 386.222552, 0.001489, 386.22399, 289.776501, 0.003956, 386.484379, 0.001243, 386.488335, 293.516153, 0.001311, 386.668007, 0.001432, 386.669318, 287.784861, 0.001327, 389.313206, 0.001395, 389.314533, 278.302578, 0.001398, 389.972266, 0.001235, 389.973664, 301.841133, 0.003531, 411.922188, 0.001273, 411.925719,385.40743649999996, 0.001494, 386.222552, 386.22399
1024, 413.028674, 0.001511, 788.443899, 0.001576, 788.44541, 387.738989, 0.001352, 805.612661, 0.001213, 805.614013, 411.143836, 0.001211, 808.004305, 0.001379, 808.0055160000001, 423.304897, 0.001266, 857.460828, 0.003596, 857.462094, 515.950224, 0.006401, 1267.165766, 0.003456, 1267.1721670000002, 480.971425, 0.006041, 1276.159288, 0.003459, 1276.1653290000002, 494.958118, 0.001315, 1289.905244, 0.001431, 1289.906559, 515.924018, 0.002728, 1290.54891, 0.001659, 1290.551638, 492.379651, 0.001422, 1311.647706, 0.007428, 1311.649128, 474.063861, 0.003243, 1322.460923, 0.001398, 1322.4641660000002, 521.999553, 0.001426, 1340.77164, 0.003948, 1340.773066, 461.532418, 0.001645, 1454.756203, 0.001541, 1454.757848,1156.9763675999998, 0.001426, 1289.905244, 1289.906559
