scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,520,21,15,0,36,476,21,17,0,38,494,22,16,0,38,495,22,17,0,39,473,21,18,0,39,498,23,18,0,41,479,22,21,0,43,500,25,21,0,46,474,27,26,0,53,521,29,35,0,64,505,37,42,0,79,1086,946,136,0,1082,48,43
1,489,19,14,0,33,493,20,13,0,33,477,20,14,0,34,497,20,14,0,34,478,21,13,0,34,471,21,13,0,34,503,20,15,0,35,478,20,15,0,35,486,20,15,0,35,472,20,15,0,35,491,21,14,0,35,494,21,15,0,36,34,35
8,491,19,51,0,70,468,19,53,0,72,467,20,52,0,72,487,21,52,0,73,481,20,53,0,73,480,23,51,0,74,506,20,55,0,75,487,20,56,0,76,494,20,57,0,77,498,20,57,0,77,482,21,57,0,78,454,21,57,0,78,74,75
16,500,19,96,0,115,502,20,96,0,116,535,19,98,0,117,479,20,98,0,118,482,19,99,0,118,505,20,99,0,119,503,20,100,0,120,486,20,100,0,120,498,20,100,0,120,476,19,103,0,122,461,20,103,0,123,498,20,114,0,134,119,120
32,469,19,150,0,169,472,19,152,0,171,521,20,152,0,172,491,20,152,0,172,497,19,154,0,173,480,19,154,0,173,493,20,153,0,173,488,19,155,0,174,483,19,155,0,174,539,19,156,0,175,478,20,156,0,176,459,19,158,0,177,173,173
64,529,20,310,0,330,496,20,311,0,331,524,19,313,0,332,489,19,318,0,337,508,19,319,0,338,497,20,319,0,339,477,19,320,0,339,532,19,321,0,340,504,19,325,0,344,493,20,327,0,347,515,20,333,0,353,486,19,361,0,380,340,339
128,520,19,660,0,679,491,19,667,0,686,487,19,667,0,686,499,19,669,0,688,521,20,669,0,689,498,18,673,0,691,526,19,673,0,692,492,19,678,0,697,528,19,685,0,704,507,19,685,0,704,496,19,688,0,707,492,20,702,0,722,694,692
256,519,19,1412,0,1431,547,20,1420,0,1440,530,18,1436,0,1454,554,20,1437,0,1457,515,19,1439,0,1458,548,20,1441,0,1461,564,20,1444,0,1464,518,19,1445,0,1464,534,19,1460,0,1479,538,20,1459,0,1479,538,19,1474,0,1493,541,19,1476,0,1495,1464,1464
512,572,20,2796,0,2816,589,19,2803,0,2822,620,19,2817,0,2836,614,19,2818,0,2837,610,19,2828,0,2847,576,19,2830,0,2849,604,19,2830,0,2849,574,19,2839,0,2858,565,19,2841,0,2860,596,19,2865,0,2884,608,19,2865,0,2884,585,23,2918,0,2941,2852,2849
1024,690,19,6374,0,6393,716,19,6382,0,6401,694,19,6389,0,6408,697,19,6389,0,6408,703,18,6396,0,6414,694,19,6419,0,6438,757,20,6423,0,6443,746,19,6433,0,6452,748,19,6442,0,6461,709,18,6452,0,6470,740,19,6489,0,6508,753,19,6556,0,6575,6440,6443
2048,942,18,18322,0,18340,991,19,18343,0,18362,982,18,18444,0,18462,958,19,18447,1,18466,968,20,18482,0,18502,951,18,18485,0,18503,1132,19,18492,0,18511,991,20,18493,0,18513,951,19,18498,0,18517,994,19,18561,0,18580,962,19,18623,0,18642,959,19,18633,0,18652,18505,18511
4096,1820,18,56462,0,56480,1453,18,56745,0,56763,1425,19,56772,0,56791,1542,19,56798,0,56817,1427,19,56933,0,56952,1466,19,56956,0,56975,1472,19,56979,0,56998,1475,19,57019,0,57038,1454,19,57070,0,57089,1475,19,57102,0,57121,1432,20,57170,0,57190,1460,19,57173,0,57192,56973,56998
8192,3475,21,191597,0,191618,2443,20,194492,0,194512,2419,25,194506,0,194531,2538,20,194521,0,194541,2454,20,194544,0,194564,2417,21,194576,0,194597,2623,21,194649,0,194670,2410,20,194652,0,194672,2427,20,194740,0,194760,2426,20,194847,0,194867,2439,21,194926,0,194947,2466,21,195109,0,195130,194666,194670
