scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,150,17,6,7,23,153,18,6,5,24,157,17,8,6,25,168,16,9,6,25,149,18,8,5,26,151,19,10,7,29,146,23,12,7,35,160,23,13,8,36,153,30,15,11,45,155,34,20,17,54,162,50,30,24,80,834,1336,107,49,1443,37,35
1,184,13,4,5,17,146,13,4,4,17,148,13,4,4,17,148,14,4,4,18,162,14,4,5,18,150,14,4,4,18,155,14,4,4,18,146,14,5,6,19,187,14,5,4,19,154,15,5,4,20,143,15,7,6,22,161,16,7,4,23,18,18
8,149,16,17,16,33,148,16,17,17,33,147,17,17,13,34,152,17,18,16,35,156,16,20,15,36,145,18,18,16,36,151,17,20,16,37,150,18,19,17,37,154,19,19,17,38,166,18,20,15,38,158,17,22,15,39,192,18,24,16,42,36,37
16,167,22,34,31,56,161,23,34,30,57,185,23,34,32,57,174,22,35,31,57,154,23,34,32,57,164,23,35,31,58,190,25,33,33,58,153,23,35,28,58,149,24,35,34,59,167,23,36,32,59,155,23,38,32,61,159,23,39,31,62,58,58
32,170,32,62,59,94,163,33,62,59,95,157,33,63,61,96,171,34,62,59,96,162,33,64,48,97,157,34,63,60,97,152,35,63,58,98,166,36,63,60,99,191,36,63,58,99,173,35,66,58,101,153,34,67,52,101,165,37,65,62,102,97,98
64,161,56,136,124,192,157,58,135,116,193,179,58,136,101,194,194,59,135,120,194,202,59,135,97,194,172,64,135,101,199,156,60,139,102,199,162,62,138,105,200,182,64,136,104,200,155,58,142,112,200,165,63,139,98,202,181,64,139,112,203,197,199
128,209,114,297,252,411,180,115,297,245,412,225,113,304,245,417,171,121,299,243,420,174,117,303,240,420,178,117,303,250,420,174,117,304,247,421,175,117,304,249,421,171,120,303,240,423,194,120,305,251,425,177,120,306,244,426,195,115,318,262,433,420,421
256,194,256,542,454,798,206,251,547,446,798,207,259,543,441,802,200,261,542,444,803,202,259,545,442,804,204,252,554,447,806,217,257,550,442,807,205,262,545,445,807,207,259,553,442,812,196,266,549,449,815,195,261,555,476,816,233,279,552,433,831,807,807
512,276,511,1113,915,1624,314,509,1116,945,1625,309,510,1120,923,1630,249,519,1117,950,1636,242,502,1135,927,1637,267,521,1120,944,1641,246,510,1131,948,1641,249,526,1118,980,1644,242,508,1145,1000,1653,244,505,1149,1069,1654,250,536,1125,946,1661,247,532,1172,952,1704,1642,1641
1024,353,1170,2435,1923,3605,359,1173,2451,1905,3624,349,1168,2459,2088,3627,404,1176,2452,1886,3628,356,1167,2475,1940,3642,397,1158,2485,1949,3643,368,1172,2474,1949,3646,380,1192,2470,1923,3662,435,1176,2487,2201,3663,357,1195,2470,1903,3665,359,1168,2514,1888,3682,446,1287,2686,2121,3973,3648,3646
2048,565,2580,5329,3933,7909,605,2553,5359,3997,7912,580,2619,5304,3902,7923,583,2592,5354,3963,7946,574,2599,5350,3916,7949,566,2577,5374,3944,7951,584,2637,5338,3891,7975,596,2645,5344,3981,7989,586,2603,5395,3827,7998,568,2595,5453,3904,8048,610,2746,5371,3898,8117,688,2810,5640,4286,8450,7980,7975
4096,1032,6183,9957,8188,16140,1056,6180,10073,8222,16253,1079,6310,9959,8141,16269,1007,6276,10103,8170,16379,1011,6419,9981,8147,16400,991,6413,9991,8267,16404,1014,6448,9975,8225,16423,1017,6485,9952,8194,16437,1028,6356,10114,8207,16470,1050,6365,10116,8133,16481,1007,6404,10099,8154,16503,1262,6319,10881,8615,17200,16401,16423
8192,1943,13272,19802,16566,33074,1945,13526,19781,16440,33307,1914,13416,19914,16553,33330,1923,13320,20033,16801,33353,1901,13386,20012,16727,33398,1898,13361,20085,16600,33446,1892,13434,20102,16483,33536,1888,13634,19972,16580,33606,1939,13562,20081,16663,33643,1918,13661,20125,16577,33786,1899,13891,19897,16806,33788,2423,14422,20923,16782,35345,33519,33536
16384,4490,32215,39010,0,71225,6788,31929,39341,0,71270,4432,32168,39123,0,71291,4437,32171,39157,0,71328,4430,32212,39242,0,71454,4404,32740,39155,0,71895,4456,32649,39285,0,71934,4371,32699,39265,0,71964,4369,32601,39390,0,71991,4462,33163,39656,0,72819,4456,34436,39826,0,74262,5392,35069,40429,0,75498,72020,71934
