scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 143.406052, 15.857639, 5.483887, 0.001251, 21.341526, 149.950643, 16.081299, 5.477436, 0.001419, 21.558735000000002, 150.362557, 18.936488, 5.632785, 0.001011, 24.569273000000003, 154.400432, 20.433319, 6.264883, 0.001326, 26.698202000000002, 153.992869, 19.442611, 7.488538, 0.001275, 26.931148999999998, 152.782846, 20.07676, 8.431226, 0.001261, 28.507986000000002, 173.263349, 19.668423, 10.618769, 0.001344, 30.287192, 205.857734, 25.591575, 13.204223, 9.72E-4, 38.795798, 163.034403, 27.152016, 16.92495, 0.001131, 44.076966, 160.235419, 34.427638, 19.719726, 0.001212, 54.147364, 156.791727, 48.573556, 24.52513, 0.001216, 73.098686, 923.144015, 1440.735054, 122.815903, 0.012539, 1563.550957,36.8671351, 20.433319, 10.618769, 30.287192
1, 175.155816, 13.428752, 3.894473, 0.001062, 17.323225, 141.904865, 13.123423, 4.299607, 0.001028, 17.42303, 152.533378, 13.626163, 4.084572, 0.001148, 17.710735, 152.15241, 14.040858, 4.045099, 0.001554, 18.085957, 143.958338, 12.352943, 5.972144, 0.001346, 18.325087, 150.908159, 14.281847, 4.256378, 0.001489, 18.538225, 149.26721, 14.329926, 4.262316, 0.001508, 18.592242, 153.202061, 14.563995, 4.406634, 0.001424, 18.970629000000002, 156.996823, 13.711724, 5.566136, 0.001179, 19.27786, 147.268711, 14.996283, 4.344687, 0.001009, 19.34097, 146.760463, 15.704998, 4.388018, 0.001011, 20.093016, 149.091088, 16.207446, 4.919132, 0.001593, 21.126578000000002,18.6357751, 14.281847, 4.344687, 18.592242
8, 157.891664, 16.826574, 16.031938, 0.001423, 32.858512000000005, 149.193913, 16.575888, 16.339257, 9.51E-4, 32.915144999999995, 154.729776, 16.573756, 16.771579, 0.001466, 33.345335, 152.038712, 16.632812, 16.877647, 0.001393, 33.510459, 150.614632, 17.055452, 17.946199, 0.00124, 35.001650999999995, 163.83327, 17.787978, 17.358032, 0.001431, 35.146010000000004, 155.641943, 16.971801, 18.371334, 0.001236, 35.343135000000004, 172.100528, 17.193005, 18.504566, 0.001151, 35.697570999999996, 156.031761, 17.633919, 19.141171, 9.96E-4, 36.77509, 174.240259, 18.517653, 18.596322, 0.001161, 37.113974999999996, 152.859428, 18.054584, 21.420233, 0.001223, 39.474817, 167.358476, 18.8562, 23.916433, 0.001326, 42.772633,35.4323188, 17.193005, 18.371334, 35.343135000000004
16, 152.540686, 21.7453, 32.552204, 0.001212, 54.297504, 161.379083, 21.896275, 32.617255, 0.001193, 54.51353, 150.193417, 22.175049, 32.862011, 0.001484, 55.037060000000004, 169.682605, 22.532006, 33.245881, 0.001356, 55.77788699999999, 155.566612, 22.429108, 33.421623, 0.001116, 55.850730999999996, 146.979877, 22.752142, 33.632896, 0.001315, 56.385038, 155.905945, 22.844323, 33.909384, 0.001096, 56.753707000000006, 162.439696, 24.031329, 32.972075, 0.001323, 57.003403999999996, 147.125461, 22.771733, 34.636616, 0.001202, 57.408349, 157.275932, 23.698959, 36.349736, 0.003329, 60.048694999999995, 150.8499, 21.838587, 38.387323, 0.001287, 60.22591, 148.754023, 24.77014, 36.884125, 0.001442, 61.654264999999995,56.90043109999999, 22.752142, 33.632896, 56.753707000000006
32, 155.577736, 32.643848, 60.086425, 0.001472, 92.730273, 157.433552, 33.154458, 59.915025, 0.001323, 93.06948299999999, 149.316055, 32.671646, 60.599014, 0.001262, 93.27065999999999, 152.308219, 33.468038, 59.86219, 0.003413, 93.330228, 152.792939, 34.87254, 58.804476, 0.003687, 93.67701600000001, 150.943704, 33.237329, 61.258642, 0.001642, 94.495971, 159.90159, 34.370627, 60.679995, 0.001187, 95.050622, 196.881852, 35.25068, 59.914584, 0.001513, 95.16526400000001, 151.407402, 31.942808, 65.129829, 0.001088, 97.072637, 150.752342, 33.475613, 65.165784, 0.001183, 98.64139700000001, 165.321383, 35.240108, 63.527772, 0.001128, 98.76787999999999, 162.274391, 37.069522, 62.856046, 0.001273, 99.925568,95.2541158, 33.475613, 60.679995, 95.050622
64, 156.393817, 55.573199, 129.129044, 0.001206, 184.702243, 158.526954, 55.663115, 130.161847, 0.001043, 185.824962, 156.044275, 56.175453, 130.562142, 0.00121, 186.737595, 163.132376, 56.890229, 129.949397, 0.001816, 186.839626, 159.246838, 57.242253, 129.611866, 0.001064, 186.854119, 151.555423, 56.705978, 131.014392, 0.00123, 187.72037, 174.768242, 60.844174, 130.443324, 0.001256, 191.287498, 154.60358, 59.389151, 132.762994, 0.001084, 192.152145, 154.243493, 56.768343, 136.247654, 0.001264, 193.01599700000003, 151.816901, 63.644738, 131.58388, 0.001314, 195.22861799999998, 158.331285, 58.853853, 138.665435, 0.001013, 197.51928800000002, 157.266238, 63.499629, 136.227751, 0.001259, 199.72738,190.3180218, 57.242253, 131.014392, 191.287498
128, 166.671753, 113.233264, 287.368155, 0.00288, 400.601419, 172.145796, 112.586903, 289.839415, 0.001474, 402.426318, 172.167305, 114.518481, 288.166079, 0.00122, 402.68456000000003, 177.045808, 114.999433, 288.385985, 0.001404, 403.385418, 167.778082, 122.157217, 283.696209, 0.003567, 405.853426, 167.972447, 116.908627, 290.218753, 0.001242, 407.12738, 175.630932, 112.943998, 297.393811, 0.001554, 410.337809, 175.985707, 123.070019, 287.351967, 0.001073, 410.421986, 195.055053, 113.810113, 298.676259, 0.001062, 412.486372, 182.274658, 117.546166, 295.894352, 0.001368, 413.440518, 181.0743, 122.288374, 291.646615, 0.001104, 413.934989, 171.872658, 114.578386, 305.571308, 0.001337, 420.14969399999995,408.2098775999999, 116.908627, 290.218753, 410.337809
256, 197.777303, 257.118098, 522.522436, 0.001455, 779.6405339999999, 196.635806, 253.856141, 527.804558, 0.001133, 781.660699, 197.255221, 252.546063, 530.43097, 0.001034, 782.977033, 197.168498, 252.601637, 533.407634, 0.001622, 786.009271, 201.918071, 255.271966, 532.891284, 0.002519, 788.1632500000001, 189.64558, 255.507367, 532.936876, 0.001099, 788.4442429999999, 191.117011, 255.516542, 533.960303, 0.001252, 789.4768449999999, 218.564819, 257.697158, 532.246962, 0.00131, 789.9441200000001, 211.378679, 248.640686, 541.947244, 0.001207, 790.5879299999999, 195.33983, 249.643394, 543.271787, 0.006304, 792.9151810000001, 199.333694, 269.567369, 529.751221, 0.001061, 799.31859, 200.112126, 262.462489, 568.125855, 0.001124, 830.588344,788.9497162, 255.271966, 532.936876, 789.4768449999999
512, 245.424142, 509.817216, 1076.561534, 0.001095, 1586.3787499999999, 244.755431, 514.846376, 1078.383658, 0.00124, 1593.230034, 260.203238, 503.94133, 1090.381057, 0.001245, 1594.3223870000002, 244.912441, 529.817477, 1072.137265, 0.001204, 1601.9547420000001, 253.025998, 511.924008, 1092.076348, 0.001582, 1604.000356, 260.740162, 506.793592, 1103.395432, 0.0014, 1610.189024, 262.857488, 524.14251, 1088.079643, 0.001099, 1612.2221530000002, 251.879409, 511.587074, 1102.738813, 0.001262, 1614.325887, 248.841815, 538.085288, 1081.193768, 0.001356, 1619.279056, 252.114722, 498.297922, 1125.612315, 0.001461, 1623.910237, 250.3286, 525.139583, 1100.144635, 0.001075, 1625.2842180000002, 256.8915, 525.930422, 1133.049904, 0.003466, 1658.9803259999999,1609.8718094, 514.846376, 1092.076348, 1612.2221530000002
1024, 348.692789, 1148.213571, 2371.545932, 0.001296, 3519.759503, 359.555689, 1162.542991, 2376.188612, 0.001323, 3538.731603, 355.42625, 1174.192571, 2372.447849, 0.001307, 3546.64042, 372.966495, 1149.105599, 2399.254511, 0.00149, 3548.36011, 383.782465, 1171.80847, 2384.662875, 0.001246, 3556.471345, 357.940897, 1157.721304, 2415.742339, 0.003127, 3573.463643, 361.121525, 1177.470607, 2400.304103, 0.001204, 3577.7747099999997, 349.919649, 1168.272977, 2411.860922, 0.001348, 3580.133899, 348.474428, 1163.94891, 2420.044543, 0.001368, 3583.993453, 365.292189, 1150.54245, 2468.365367, 0.001553, 3618.907817, 353.858938, 1273.591776, 2410.470467, 0.001468, 3684.0622430000003, 385.371482, 1228.046749, 2552.761492, 0.003736, 3780.808241,3580.853924299999, 1168.272977, 2410.470467, 3577.7747099999997
