scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,148,0,3,5,3,153,0,3,5,3,159,0,4,6,4,146,0,4,7,4,168,0,5,6,5,167,0,5,7,5,149,0,7,8,7,155,0,9,8,9,155,0,11,13,11,156,0,13,16,13,166,0,17,22,17,659,0,82,52,82,7,7
1,149,0,2,5,2,155,0,2,4,2,155,0,2,5,2,153,0,2,4,2,159,0,2,4,2,146,0,3,4,3,149,0,3,5,3,177,0,3,8,3,151,0,3,4,3,160,0,3,5,3,151,0,3,4,3,145,0,4,5,4,2,3
8,151,0,6,16,6,146,0,6,17,6,150,0,6,15,6,154,0,6,16,6,169,0,7,16,7,197,0,7,16,7,156,0,7,17,7,150,0,7,16,7,158,0,8,17,8,150,0,8,17,8,164,0,10,18,10,145,0,10,16,10,7,7
16,147,0,12,28,12,156,0,12,30,12,166,0,12,28,12,159,0,12,29,12,147,0,12,27,12,154,0,13,28,13,157,0,13,28,13,154,0,13,28,13,150,0,13,28,13,169,0,14,26,14,150,0,14,29,14,172,0,15,29,15,12,13
32,155,0,20,47,20,164,0,20,49,20,149,0,21,52,21,160,0,22,55,22,157,0,22,46,22,163,0,22,52,22,154,0,22,53,22,152,0,22,52,22,165,0,22,53,22,160,0,22,52,22,168,0,23,56,23,157,0,25,46,25,21,22
64,162,0,44,98,44,154,0,44,97,44,159,0,44,91,44,157,0,45,99,45,170,0,45,97,45,159,0,45,93,45,169,0,47,96,47,161,0,47,97,47,164,0,47,98,47,178,0,48,88,48,175,0,54,98,54,178,0,62,100,62,46,47
128,165,0,88,179,88,171,0,89,188,89,170,0,90,178,90,171,0,90,184,90,172,0,90,185,90,168,0,90,190,90,172,0,95,188,95,171,0,95,191,95,175,0,95,179,95,166,0,97,179,97,172,0,101,199,101,177,0,111,172,111,93,95
256,210,0,194,382,194,193,0,194,395,194,202,0,195,403,195,207,0,197,392,197,201,0,198,407,198,201,0,204,405,204,206,0,204,389,204,197,0,204,385,204,202,0,206,374,206,191,0,207,369,207,191,0,208,389,208,193,0,213,402,213,201,204
512,251,0,425,853,425,244,0,426,852,426,250,0,427,831,427,244,0,427,847,427,247,0,428,777,428,246,0,429,865,429,248,0,430,809,430,248,0,434,806,434,254,0,435,894,435,252,0,436,833,436,266,0,439,805,439,288,0,449,849,449,431,430
1024,349,0,813,1666,813,352,0,815,1725,815,342,0,818,1667,818,341,0,820,1698,820,354,0,827,1704,827,352,0,833,1686,833,362,0,842,1682,842,345,0,842,1702,842,359,0,843,1650,843,378,0,847,1688,847,349,0,852,1688,852,347,0,883,1707,883,833,842
2048,579,0,1875,3398,1875,577,0,1887,3410,1887,565,0,1887,3328,1887,574,0,1889,3290,1889,591,0,1892,3411,1892,590,0,1892,3320,1892,567,0,1894,3389,1894,557,0,1894,3332,1894,575,0,1895,3435,1895,620,0,1907,3553,1907,581,0,1923,3395,1923,566,0,1944,3444,1944,1896,1894
4096,986,0,3832,6863,3832,1010,0,3843,6805,3843,1006,0,3851,6785,3851,1000,0,3851,7131,3851,1043,0,3853,6801,3853,1048,0,3861,6854,3861,1011,0,3870,7196,3870,1010,0,3873,6830,3873,1007,0,3874,6740,3874,1072,0,3894,6779,3894,987,0,3894,6664,3894,1015,0,3911,6713,3911,3866,3870
8192,1859,0,7717,14563,7717,1943,0,7739,14298,7739,1905,0,7750,14331,7750,1894,0,7759,14086,7759,1895,0,7772,14302,7772,1858,0,7794,14544,7794,2036,0,7812,15498,7812,1882,0,7815,14131,7815,1897,0,7827,14444,7827,1905,0,7846,14338,7846,1882,0,7878,14615,7878,1890,0,8017,14192,8017,7799,7812
16384,4406,0,15868,28927,15868,4334,0,15911,29231,15911,4376,0,15955,29338,15955,4333,0,15982,29083,15982,4366,0,15989,29643,15989,4380,0,15993,29422,15993,4336,0,16001,29092,16001,4355,0,16007,29051,16007,4414,0,16015,29297,16015,4546,0,16054,31620,16054,4330,0,16063,29368,16063,4381,0,16122,29180,16122,15997,16001
32768,9086,0,32579,0,32579,8843,0,32589,0,32589,8793,0,32614,0,32614,8896,0,32643,0,32643,8917,0,32659,0,32659,8921,0,32663,0,32663,8925,0,32663,0,32663,8984,0,32713,0,32713,9106,0,32729,0,32729,8900,0,32793,0,32793,8902,0,32870,0,32870,10355,0,34649,0,34649,32693,32663
