scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 218.213869, 0.001053, 3.412798, 0.001062, 3.413851, 197.672949, 0.003068, 3.541247, 0.001052, 3.5443149999999997, 201.979844, 0.001032, 4.131533, 0.001144, 4.1325650000000005, 207.775688, 0.001146, 4.561804, 0.003789, 4.562950000000001, 189.412235, 0.001023, 4.738992, 0.001034, 4.740015, 198.803756, 9.65E-4, 4.919759, 9.78E-4, 4.920724, 208.845451, 0.001046, 6.766953, 0.001626, 6.767999, 202.554463, 9.87E-4, 7.582667, 9.07E-4, 7.583654, 205.10829, 9.18E-4, 10.500501, 0.001529, 10.501419, 192.513483, 9.63E-4, 16.297656, 9.15E-4, 16.298619, 221.030447, 0.001038, 18.388689, 9.31E-4, 18.389727, 796.449733, 0.010132, 70.811788, 0.008987, 70.82192,8.1441987, 0.001032, 6.766953, 6.767999
1, 191.732531, 0.001105, 2.139472, 0.001317, 2.140577, 184.181174, 0.001038, 2.279504, 0.001132, 2.280542, 180.837381, 0.001083, 2.343833, 0.001086, 2.344916, 186.894189, 0.002936, 2.375604, 0.001085, 2.37854, 178.879131, 0.001016, 2.382545, 0.00112, 2.383561, 204.331484, 9.85E-4, 2.517124, 0.001354, 2.518109, 211.264157, 0.001041, 2.745903, 0.001238, 2.746944, 178.669766, 0.001371, 2.926743, 9.9E-4, 2.928114, 190.029907, 0.001027, 3.021566, 9.46E-4, 3.022593, 184.926194, 0.001151, 3.661169, 0.001325, 3.6623200000000002, 191.87062, 9.95E-4, 3.757047, 0.001045, 3.758042, 205.506957, 0.001121, 3.89479, 0.001041, 3.895911,2.8023681, 0.001041, 2.745903, 2.746944
8, 195.223073, 0.001018, 5.309798, 0.00294, 5.310816, 191.841259, 0.001181, 5.346326, 0.001079, 5.347507, 202.514651, 0.001087, 5.454499, 0.003918, 5.455586, 185.247501, 0.001229, 5.466089, 0.001057, 5.467318000000001, 189.418096, 0.001113, 5.83322, 0.00101, 5.834333, 190.387671, 0.001035, 6.012497, 0.001198, 6.013532, 189.123784, 0.001417, 6.110938, 9.56E-4, 6.112355, 195.763119, 9.29E-4, 6.155569, 0.001003, 6.156498, 185.983202, 9.78E-4, 6.770266, 0.001027, 6.771244, 191.28084, 0.001032, 8.125052, 0.005043, 8.126084, 192.132585, 9.54E-4, 8.29124, 0.001071, 8.292194, 192.262718, 0.001072, 8.717868, 0.001083, 8.71894,6.3576651, 0.001087, 6.110938, 6.112355
16, 194.719185, 0.001393, 10.313587, 0.001048, 10.31498, 196.66318, 0.001332, 10.489521, 0.001211, 10.490853, 217.849528, 0.001237, 10.547467, 0.001111, 10.548703999999999, 211.030165, 0.001194, 10.554241, 0.001048, 10.555435, 202.404826, 0.001063, 10.643077, 0.001063, 10.64414, 203.929078, 9.92E-4, 10.65457, 0.001091, 10.655562, 194.571895, 0.00124, 10.808417, 0.001241, 10.809657, 190.641573, 0.001041, 11.51188, 9.73E-4, 11.512921, 216.613846, 0.00151, 11.585197, 0.002805, 11.586707, 192.500892, 0.001049, 11.6699, 0.001021, 11.670949, 200.63159, 0.001167, 11.736418, 9.71E-4, 11.737585000000001, 203.860222, 0.001047, 11.875406, 9.67E-4, 11.876453,11.0212513, 0.001194, 10.808417, 10.809657
32, 187.04331, 0.003012, 20.344646, 0.001352, 20.347658, 198.283359, 0.00118, 20.393786, 0.001008, 20.394966, 187.35622, 0.001482, 20.48991, 0.001005, 20.491391999999998, 195.010728, 0.001052, 20.627312, 0.001015, 20.628364, 189.536996, 0.001057, 20.661074, 0.00115, 20.662131, 208.900831, 0.001005, 21.13755, 0.001055, 21.138555, 203.280961, 0.001118, 21.879587, 0.00108, 21.880705000000003, 241.790145, 0.001071, 22.204232, 0.001005, 22.205303, 195.855318, 9.07E-4, 22.25133, 0.001205, 22.252237, 213.933513, 0.001439, 22.264092, 9.62E-4, 22.265531000000003, 196.514031, 0.001013, 22.754992, 0.001147, 22.756005000000002, 194.115809, 0.001193, 23.931205, 0.001065, 23.932398,21.467518900000005, 0.001071, 21.879587, 21.880705000000003
64, 201.142127, 0.001386, 37.030396, 0.001003, 37.031782, 191.649391, 0.001176, 37.334302, 0.001133, 37.335478, 197.469784, 0.001033, 37.497436, 0.001061, 37.498469, 191.278253, 9.74E-4, 37.646768, 0.001122, 37.647742, 200.194624, 0.00105, 37.689559, 0.001027, 37.690609, 191.793577, 9.6E-4, 37.730827, 0.001045, 37.731787, 191.372772, 0.001046, 38.182479, 0.001249, 38.183525, 195.781234, 0.001091, 38.182719, 0.001033, 38.18381, 194.033981, 0.001084, 38.457591, 0.001092, 38.458675, 191.17758, 0.001047, 38.523629, 0.001054, 38.524676, 201.581682, 0.001086, 39.21314, 9.98E-4, 39.214226000000004, 199.331364, 0.001147, 40.097424, 0.001293, 40.098571,38.0468997, 0.00105, 38.182479, 38.183525
128, 222.19909, 0.001014, 75.798346, 0.001165, 75.79936, 214.05388, 0.00112, 76.158266, 0.001145, 76.159386, 209.900925, 0.001075, 77.276852, 0.005929, 77.277927, 215.083461, 0.001161, 77.37778, 0.001313, 77.378941, 211.140201, 0.001038, 80.035891, 0.001227, 80.036929, 209.576112, 0.001062, 80.264359, 0.00316, 80.265421, 208.44576, 0.001123, 80.782546, 0.001121, 80.783669, 218.125178, 0.00104, 81.332873, 0.001458, 81.33391300000001, 200.972731, 0.001058, 81.539478, 0.001205, 81.540536, 205.370473, 0.001307, 82.36541, 0.001277, 82.366717, 211.849907, 0.003279, 84.133711, 0.004501, 84.13699000000001, 236.374434, 0.001171, 86.225752, 0.001082, 86.226923,80.1280429, 0.00112, 80.782546, 80.783669
256, 245.19866, 0.001578, 164.646824, 0.001047, 164.648402, 239.440535, 0.001218, 165.796024, 9.41E-4, 165.79724199999998, 246.436378, 0.001084, 166.605911, 9.99E-4, 166.60699499999998, 231.85335, 0.001046, 167.034631, 0.001116, 167.035677, 231.212923, 0.001261, 167.167498, 0.001041, 167.168759, 231.130696, 0.001279, 167.685763, 0.00124, 167.68704200000002, 236.338115, 0.001716, 170.264329, 0.001052, 170.266045, 234.560903, 0.001231, 171.114584, 0.001461, 171.115815, 264.244662, 0.001186, 173.285094, 0.001167, 173.28627999999998, 258.405735, 0.00107, 175.417722, 0.001052, 175.418792, 235.394273, 0.001187, 179.194709, 0.001101, 179.19589599999998, 245.737454, 0.003105, 186.482099, 0.001212, 186.485204,170.35785429999999, 0.001218, 170.264329, 170.266045
512, 299.705009, 0.001109, 349.109454, 0.001278, 349.110563, 292.755031, 0.001534, 349.387083, 0.001144, 349.388617, 282.087389, 0.001263, 349.786516, 0.001443, 349.787779, 280.890034, 0.001101, 349.970212, 0.001075, 349.971313, 285.578721, 0.001302, 354.169955, 9.76E-4, 354.171257, 277.16883, 0.001221, 354.4842, 0.001193, 354.485421, 299.026655, 0.001454, 357.695098, 0.001026, 357.696552, 301.68696, 0.001509, 361.01668, 0.001345, 361.018189, 287.915452, 0.001139, 367.027293, 0.001274, 367.028432, 278.160889, 0.001348, 368.508903, 0.001185, 368.510251, 290.745182, 0.001064, 377.861233, 0.001102, 377.862297, 288.788129, 0.001123, 381.335393, 0.001372, 381.336516,358.9920108, 0.001302, 357.695098, 357.696552
1024, 422.402643, 0.003416, 741.108425, 0.001236, 741.111841, 406.228292, 0.001112, 742.378716, 0.001014, 742.3798280000001, 379.894046, 0.001031, 745.472162, 0.001185, 745.473193, 397.519131, 0.003126, 746.40712, 0.001222, 746.4102459999999, 404.68259, 0.001243, 748.014144, 0.001103, 748.015387, 388.78276, 0.001482, 749.03025, 0.002208, 749.031732, 397.220435, 0.001188, 751.841532, 0.001139, 751.84272, 387.846921, 0.001243, 760.861556, 9.26E-4, 760.862799, 375.832338, 0.001072, 763.037991, 0.001142, 763.039063, 392.163513, 0.001277, 780.118879, 0.001191, 780.120156, 387.771373, 0.001155, 787.62091, 7.88E-4, 787.622065, 413.409792, 0.001133, 814.084566, 0.001166, 814.085699,757.4797189000001, 0.001243, 751.841532, 751.84272
