scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 156.751537, 18.734456, 11.928536, 0.001112, 30.662992000000003, 153.441519, 18.512336, 13.273058, 0.001183, 31.785394000000004, 158.363501, 18.559149, 14.128208, 9.78E-4, 32.687357000000006, 173.887223, 20.101144, 14.888669, 0.001192, 34.989813, 175.905539, 20.694626, 14.968163, 0.001252, 35.662789000000004, 153.78371, 23.645425, 16.511894, 0.00134, 40.157319, 172.09572, 24.169829, 17.756814, 0.001237, 41.926643, 165.652609, 26.059659, 21.285361, 0.001201, 47.345020000000005, 169.786481, 33.092768, 23.577546, 0.001109, 56.670314000000005, 173.161907, 39.443461, 28.966949, 9.42E-4, 68.41041, 166.180095, 46.154899, 44.630716, 0.001347, 90.785615, 860.593677, 1331.787427, 147.650199, 0.012821, 1479.437626,48.04206740000001, 24.169829, 17.756814, 41.926643
1, 149.294828, 14.771749, 11.557469, 0.001418, 26.329217999999997, 149.466078, 16.427249, 10.365966, 0.001577, 26.793215, 145.791474, 15.854801, 11.099789, 0.002867, 26.95459, 161.546012, 16.020641, 11.881296, 0.001221, 27.901937000000004, 175.368517, 16.312065, 11.625234, 0.001452, 27.937299000000003, 168.585393, 16.392348, 11.750643, 0.003411, 28.142991, 164.646402, 17.315937, 11.064824, 0.001234, 28.380761, 152.269769, 18.263267, 12.164918, 0.001022, 30.428185, 150.592932, 15.546915, 15.212218, 0.001442, 30.759133, 150.229475, 18.731357, 12.37805, 0.003131, 31.109406999999997, 159.529496, 19.095593, 12.553414, 0.008774, 31.649007, 147.860475, 19.371745, 12.309638, 0.001423, 31.681383,29.005652499999997, 16.427249, 11.881296, 28.380761
8, 148.350683, 42.824478, 84.228046, 0.001109, 127.052524, 157.874919, 44.352418, 85.363517, 0.001208, 129.715935, 167.561007, 43.950789, 86.647376, 0.001084, 130.598165, 153.221429, 43.753131, 86.8816, 0.002226, 130.63473100000002, 154.929548, 44.202506, 86.863799, 0.001177, 131.066305, 155.843109, 46.000548, 85.18037, 9.93E-4, 131.180918, 160.001277, 43.095972, 88.401364, 0.00336, 131.49733600000002, 167.509852, 43.770629, 88.281588, 0.001342, 132.05221699999998, 157.762769, 43.691703, 89.913052, 0.002126, 133.60475499999998, 162.645124, 43.442737, 90.280991, 0.001202, 133.723728, 158.67955, 44.177527, 92.917178, 0.002073, 137.094705, 177.029484, 47.195401, 95.536829, 9.8E-4, 142.73223,132.1168795, 43.950789, 88.281588, 131.49733600000002
16, 159.834395, 70.287488, 158.335749, 0.001263, 228.623237, 165.627334, 71.424577, 159.414165, 0.001126, 230.838742, 159.728913, 70.620105, 160.280196, 0.001037, 230.90030099999998, 160.425005, 71.190864, 159.9675, 0.001463, 231.158364, 164.214524, 72.12266, 160.417385, 0.001217, 232.540045, 159.415235, 71.38168, 161.750521, 0.001422, 233.132201, 166.04384, 74.237873, 159.99637, 0.001239, 234.234243, 160.875178, 75.216271, 159.199841, 0.001192, 234.416112, 158.438574, 74.658181, 161.658246, 0.001077, 236.31642699999998, 170.578815, 76.44086, 160.075876, 0.001062, 236.51673599999998, 163.702848, 77.6826, 162.986103, 0.001171, 240.668703, 166.360415, 70.454112, 171.397455, 0.001212, 241.851567,234.07218739999993, 74.237873, 160.280196, 234.234243
32, 184.372143, 180.578196, 388.803908, 0.003408, 569.382104, 184.395362, 185.872724, 391.012905, 0.001192, 576.885629, 175.952525, 186.545542, 393.893373, 0.001125, 580.438915, 181.454998, 182.893707, 398.472223, 0.001067, 581.3659299999999, 196.637725, 184.394993, 397.41843, 0.00124, 581.8134230000001, 180.540579, 180.967302, 403.069625, 0.00113, 584.036927, 183.23873, 185.49668, 398.853925, 0.00125, 584.350605, 188.735198, 186.405962, 401.227889, 0.001064, 587.633851, 180.575776, 187.018668, 404.262053, 0.001139, 591.280721, 188.679528, 192.146156, 399.764871, 0.001, 591.911027, 187.89496, 189.397989, 403.388358, 0.001269, 592.786347, 187.352544, 184.171408, 409.9162, 0.001325, 594.087608,585.2503375, 186.405962, 399.764871, 584.350605
64, 198.039265, 374.005161, 728.381203, 9.76E-4, 1102.386364, 211.812441, 364.940706, 743.752649, 0.001017, 1108.6933549999999, 207.186332, 377.989867, 731.326396, 0.001296, 1109.3162630000002, 207.530102, 373.683416, 735.947192, 0.001292, 1109.630608, 210.595739, 370.544994, 743.518405, 0.001074, 1114.0633990000001, 212.572921, 366.575472, 749.055219, 9.69E-4, 1115.6306909999998, 203.627025, 377.140437, 743.745103, 9.8E-4, 1120.88554, 212.070624, 368.072809, 753.163073, 0.001052, 1121.235882, 205.586708, 367.672434, 753.804135, 0.001098, 1121.476569, 207.495786, 390.347061, 745.363511, 0.001212, 1135.710572, 229.981636, 377.77403, 759.439016, 0.001413, 1137.213046, 210.242472, 393.548236, 788.084226, 0.001069, 1181.632462,1119.3855925000003, 373.683416, 745.363511, 1120.88554
128, 300.266622, 1208.892844, 1749.891485, 0.001102, 2958.784329, 285.703655, 1243.842574, 1724.092969, 0.001142, 2967.935543, 282.201384, 1230.095767, 1740.989486, 0.001302, 2971.085253, 277.745089, 1225.915494, 1746.697055, 0.003151, 2972.6125490000004, 300.910941, 1235.983195, 1738.138938, 0.003405, 2974.122133, 285.185827, 1226.618667, 1748.162747, 0.001121, 2974.781414, 281.235424, 1228.202128, 1753.831735, 0.001303, 2982.0338629999997, 290.583539, 1251.230923, 1736.534374, 9.61E-4, 2987.765297, 278.408642, 1241.928796, 1746.534056, 0.001115, 2988.4628519999997, 276.333432, 1265.166593, 1728.5322, 0.001091, 2993.698793, 284.183217, 1306.221742, 1725.675721, 0.001023, 3031.8974630000002, 285.070106, 1202.590686, 1830.553418, 0.001233, 3033.144104,2984.439516000001, 1241.928796, 1740.989486, 2982.0338629999997
256, 383.24508, 2946.348644, 3154.420598, 0.001331, 6100.769242, 389.125057, 2962.751367, 3144.860376, 0.00122, 6107.6117429999995, 409.93361, 2993.351581, 3141.448828, 0.001851, 6134.8004089999995, 406.716039, 3025.798518, 3134.548705, 0.001159, 6160.347223000001, 383.190249, 3022.213527, 3140.868464, 0.001294, 6163.081991, 409.642754, 3023.233828, 3147.836428, 0.001311, 6171.070256, 419.87282, 3010.895311, 3161.530934, 0.00387, 6172.426245000001, 384.933874, 3023.010576, 3156.29804, 0.001164, 6179.308616, 381.509325, 3021.56963, 3172.172559, 0.001365, 6193.7421890000005, 402.724132, 3045.162772, 3150.930082, 0.00123, 6196.092854, 401.226444, 3236.045665, 3140.447359, 0.001242, 6376.493023999999, 418.965108, 3202.451163, 3451.649007, 0.001677, 6654.10017,6185.497455, 3023.010576, 3147.836428, 6172.426245000001
512, 673.716957, 11667.041381, 6544.204825, 0.001265, 18211.246206, 677.678166, 11678.850753, 6630.715515, 0.001304, 18309.566268000002, 672.228057, 11771.875964, 6608.01307, 0.002261, 18379.889034, 661.932955, 11758.017962, 6636.600628, 0.001185, 18394.61859, 660.655986, 11764.115998, 6633.628083, 0.001281, 18397.744080999997, 674.868233, 11821.297203, 6606.933932, 0.001237, 18428.231135, 651.552779, 11828.129912, 6609.323664, 0.001172, 18437.453576, 652.872745, 11940.343407, 6593.30376, 0.001084, 18533.647167, 651.907221, 11934.030681, 6618.175735, 0.001433, 18552.206416, 658.48619, 12020.122042, 6598.050494, 0.001039, 18618.172536000002, 655.26534, 12085.999797, 6677.663708, 0.001161, 18763.663505, 801.151543, 12614.158183, 7373.010113, 0.001164, 19987.168296,18481.519230800004, 11828.129912, 6618.175735, 18437.453576
1024, 1157.809896, 45822.013689, 13666.738612, 0.001744, 59488.752301, 1170.485254, 45726.390636, 13772.490179, 0.0012, 59498.880815, 1170.567423, 46023.431884, 13489.791836, 0.00117, 59513.223719999995, 1170.35897, 45958.674985, 13616.391932, 0.001593, 59575.066917, 1194.288844, 46000.147072, 13581.734035, 0.002977, 59581.881107, 1149.790063, 46430.660499, 13580.589213, 0.003031, 60011.249712, 1207.714105, 46374.44436, 13699.529473, 0.001187, 60073.973833000004, 1217.104885, 46675.810934, 13714.082258, 0.001319, 60389.893192, 1165.295067, 47191.272117, 13514.832453, 0.009865, 60706.10457, 1171.733727, 47126.803092, 13624.599622, 0.001233, 60751.402714, 1222.835148, 47239.500745, 13664.31602, 0.001512, 60903.816764999996, 1507.786267, 56832.098885, 13749.851715, 0.00127, 70581.9506,60100.5493345, 46430.660499, 13624.599622, 60073.973833000004
