scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 190.762259, 0.001076, 6.262561, 0.001198, 6.263637, 200.509702, 0.001039, 6.558275, 0.001077, 6.559314, 188.816647, 0.001089, 7.309599, 0.001327, 7.310688000000001, 187.929796, 0.001063, 7.688763, 0.001122, 7.689826, 221.670302, 0.001105, 7.868442, 0.001106, 7.869547, 193.850117, 0.001136, 8.275644, 0.001117, 8.27678, 214.120014, 0.001289, 12.571682, 0.001268, 12.572970999999999, 189.634816, 9.0E-4, 12.822566, 0.001061, 12.823466, 200.062639, 8.98E-4, 15.133388, 0.001089, 15.134286, 215.016684, 0.003192, 21.445798, 0.001024, 21.44899, 212.062267, 9.47E-4, 27.15215, 0.001011, 27.153097, 823.41634, 0.010578, 129.474873, 0.012122, 129.485451,12.6838965, 0.001089, 12.571682, 12.572970999999999
1, 178.007152, 0.003169, 5.694745, 0.001252, 5.697914, 188.968471, 9.67E-4, 5.783836, 0.001177, 5.784803, 185.007793, 0.001084, 5.81609, 0.001171, 5.817174, 189.126287, 0.001077, 5.903304, 0.003357, 5.904381000000001, 194.852873, 9.82E-4, 5.936321, 0.001097, 5.937303, 186.947564, 0.001105, 5.972336, 0.001104, 5.973441, 188.340866, 0.001079, 6.017122, 0.001176, 6.0182009999999995, 191.414791, 0.001087, 6.193971, 0.00126, 6.195058, 192.654613, 0.001272, 6.356105, 0.001153, 6.3573770000000005, 187.264075, 0.001126, 6.728869, 0.003287, 6.729995000000001, 194.518857, 9.92E-4, 6.820189, 0.001085, 6.821181, 190.205369, 0.001345, 11.442343, 0.00121, 11.443688,6.153891400000001, 0.001084, 6.017122, 6.0182009999999995
8, 201.63471, 0.001091, 45.867436, 0.001159, 45.868527, 195.470422, 0.001025, 46.267282, 0.001104, 46.268307, 207.113797, 0.001095, 46.525858, 0.001262, 46.526953, 191.030575, 0.00144, 46.571082, 0.001225, 46.572522, 199.751072, 0.001154, 48.055992, 0.001247, 48.057146, 202.049978, 9.74E-4, 48.230859, 0.001163, 48.231833, 191.026928, 0.001323, 48.892471, 0.001097, 48.893794, 204.367647, 0.001114, 48.895252, 0.001286, 48.896366, 201.846988, 0.001095, 50.826744, 0.001128, 50.827839, 201.127824, 0.00119, 53.374984, 0.005393, 53.376174, 194.960517, 0.001034, 53.668888, 0.001079, 53.669922, 210.362285, 0.001062, 57.103696, 0.001094, 57.104758,49.132085599999996, 0.001114, 48.892471, 48.893794
16, 201.201805, 0.001084, 80.13389, 0.001183, 80.134974, 194.078995, 0.001056, 80.976575, 0.005552, 80.977631, 212.041736, 0.001308, 81.472875, 0.002066, 81.474183, 191.029152, 0.004897, 81.622044, 0.001388, 81.626941, 261.859277, 0.0012, 82.456314, 0.00217, 82.457514, 203.172731, 0.001054, 82.638274, 0.0012, 82.63932799999999, 198.445449, 0.002118, 82.977649, 0.001863, 82.979767, 207.044401, 0.001054, 83.576467, 0.001213, 83.57752099999999, 195.529958, 0.00102, 84.150478, 0.001311, 84.151498, 202.485376, 0.001101, 84.187247, 0.00225, 84.188348, 199.359943, 0.003091, 85.776247, 0.001081, 85.779338, 199.037009, 0.001074, 87.513809, 0.001222, 87.514883,82.98520689999998, 0.0012, 82.977649, 82.979767
32, 212.542227, 0.001083, 200.411425, 0.001243, 200.412508, 207.869622, 0.001, 202.354523, 0.001122, 202.355523, 214.341234, 0.001146, 204.916688, 0.003478, 204.917834, 223.960047, 0.001218, 205.030781, 0.001184, 205.03199899999998, 219.47408, 0.00106, 205.472876, 0.001216, 205.473936, 209.649592, 0.00106, 205.758274, 0.001163, 205.759334, 209.40071, 0.001181, 207.895937, 0.001115, 207.897118, 215.724059, 0.001062, 207.994157, 0.001566, 207.995219, 217.499913, 0.001032, 209.439807, 0.001204, 209.440839, 221.292016, 0.001146, 216.063448, 0.001162, 216.064594, 219.206126, 0.001035, 219.002503, 0.003188, 219.003538, 218.333251, 0.001044, 230.650581, 0.001185, 230.651625,208.3939934, 0.001062, 207.895937, 207.897118
64, 262.818366, 0.001084, 376.432086, 0.002928, 376.43317, 259.100515, 0.001029, 381.550873, 0.00115, 381.55190200000004, 269.526935, 0.001052, 383.308181, 0.001137, 383.309233, 242.772359, 0.001086, 384.265853, 0.001107, 384.266939, 240.516897, 0.001293, 385.056644, 0.001179, 385.057937, 240.024944, 0.001237, 386.020511, 0.001268, 386.021748, 253.699431, 0.003258, 389.725608, 0.001061, 389.72886600000004, 246.069738, 9.42E-4, 389.771225, 0.001139, 389.772167, 239.83599, 0.001263, 390.185772, 0.001143, 390.187035, 237.370142, 0.002874, 394.030507, 0.001133, 394.033381, 250.252569, 0.002463, 397.801183, 0.001078, 397.80364599999996, 250.771051, 0.001331, 418.703812, 0.001175, 418.705143,388.17328540000005, 0.001263, 389.725608, 389.72886600000004
128, 329.289546, 0.001309, 834.467849, 0.001313, 834.469158, 320.95457, 0.001242, 841.684986, 0.001186, 841.686228, 311.607198, 0.001183, 843.253469, 0.001295, 843.254652, 318.420809, 0.001179, 851.573099, 0.00133, 851.5742779999999, 340.604028, 0.001074, 871.250945, 0.001112, 871.252019, 317.063515, 0.001159, 871.73817, 0.001229, 871.739329, 325.538653, 0.001287, 872.947545, 0.001116, 872.948832, 363.624795, 0.00107, 878.69551, 0.00158, 878.69658, 324.741127, 0.003324, 886.209205, 0.001264, 886.212529, 313.144822, 0.001091, 887.437611, 0.001173, 887.4387019999999, 321.981083, 0.001072, 904.494892, 0.002214, 904.4959640000001, 324.42317, 0.001322, 970.691382, 0.001232, 970.6927039999999,870.9299113, 0.001179, 872.947545, 872.948832
256, 447.186099, 0.003258, 1507.619908, 0.003808, 1507.6231659999999, 415.199488, 0.001273, 1518.502868, 0.001279, 1518.5041410000001, 426.421394, 0.00127, 1526.088249, 0.001483, 1526.0895189999999, 410.148017, 0.001321, 1526.781625, 0.003399, 1526.782946, 420.993299, 0.001237, 1532.067895, 0.00302, 1532.0691319999999, 423.603438, 0.001145, 1532.149024, 0.003483, 1532.150169, 408.429362, 0.001107, 1535.979831, 0.001262, 1535.9809380000002, 439.174569, 0.001553, 1537.4549, 0.001283, 1537.456453, 415.930322, 0.001238, 1537.631364, 0.001217, 1537.6326020000001, 431.013402, 0.001256, 1550.279736, 0.001454, 1550.280992, 435.095425, 0.001199, 1641.19729, 0.020129, 1641.198489, 431.842703, 0.005389, 1659.094141, 0.001272, 1659.09953,1543.8145381, 0.001256, 1535.979831, 1535.9809380000002
512, 701.535971, 0.001796, 3194.883382, 0.001374, 3194.885178, 720.30554, 0.001268, 3199.300796, 0.00134, 3199.302064, 707.774709, 0.001267, 3207.04708, 0.001304, 3207.048347, 741.879606, 0.001249, 3208.105215, 0.001477, 3208.106464, 698.98294, 0.001215, 3210.415605, 0.001436, 3210.41682, 696.809649, 0.001246, 3213.96724, 0.001215, 3213.9684859999998, 688.088455, 0.001812, 3230.342279, 0.00141, 3230.344091, 705.473595, 0.001732, 3243.863403, 0.001303, 3243.865135, 701.599964, 0.001204, 3244.879636, 0.003075, 3244.8808400000003, 714.595804, 0.001497, 3252.902801, 0.001344, 3252.9042980000004, 697.6041, 0.001317, 3401.163465, 0.001303, 3401.1647820000003, 741.242947, 0.001258, 3477.435281, 0.001328, 3477.436539,3241.2001327000003, 0.001268, 3230.342279, 3230.344091
1024, 1228.489041, 0.001398, 6426.997942, 0.001338, 6426.99934, 1240.386604, 0.0031, 6479.03454, 0.00137, 6479.03764, 1217.594364, 0.001276, 6489.46392, 0.001499, 6489.465196, 1201.489738, 0.0012, 6492.604048, 0.0012, 6492.605248, 1222.216262, 0.015295, 6492.90048, 0.001391, 6492.915775, 1262.286624, 0.001344, 6532.463254, 0.001364, 6532.4645980000005, 1230.28727, 0.001204, 6542.056774, 0.003039, 6542.057978, 1185.693633, 0.001379, 6543.700349, 0.001369, 6543.701728, 1216.205809, 0.003134, 6573.632319, 0.001445, 6573.635453, 1235.640075, 0.001514, 6578.394568, 0.001337, 6578.396081999999, 1290.180432, 0.001231, 6763.897913, 0.001231, 6763.899144, 1209.725258, 0.001292, 6799.297903, 0.001163, 6799.299195,6548.8178842, 0.001379, 6542.056774, 6542.057978
